AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,N
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-133.81,161.26,0.37,4.80,7.59,0.12,7.60,4.80,3.02,140691
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-193.52,268.95,1.93,8.69,15.84,0.39,15.96,8.51,3.96,183393
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-251.04,432.29,7.26,16.76,26.40,2.74,27.38,16.44,9.21,322306
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-172.66,432.29,9.00,18.99,29.17,3.71,30.52,18.73,10.77,204511
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,-133.81,161.26,0.37,4.80,7.59,0.12,7.60,4.80,3.02,140691
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-193.52,268.95,1.93,8.69,15.84,0.39,15.96,8.51,3.96,183393
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,-251.04,432.29,7.26,16.76,26.40,2.74,27.38,16.44,9.21,322306
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-172.66,432.29,9.00,18.99,29.17,3.71,30.52,18.73,10.77,204511
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-344.43,177.59,1.17,6.53,9.87,0.65,9.94,6.54,4.59,140691
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-237.79,256.02,4.24,10.26,17.28,1.48,17.79,9.99,5.07,183393
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-265.26,432.05,10.21,17.82,27.42,5.61,29.26,18.22,10.81,322306
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-211.24,432.05,11.96,20.27,30.35,6.91,32.62,20.89,12.87,204511
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-344.43,177.59,1.17,6.53,9.87,0.65,9.94,6.54,4.59,140691
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-237.79,256.02,4.24,10.26,17.28,1.48,17.79,9.99,5.07,183393
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-265.26,432.05,10.21,17.82,27.42,5.61,29.26,18.22,10.81,322306
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-211.24,432.05,11.96,20.27,30.35,6.91,32.62,20.89,12.87,204511
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,-197.06,87.72,0.12,3.14,5.45,0.24,5.45,3.15,2.03,140889
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-213.82,263.65,2.57,6.29,12.28,0.84,12.55,6.08,2.77,183596
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,-348.14,444.76,3.95,9.24,18.53,1.57,18.95,9.05,4.07,322360
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-289.69,444.76,5.00,11.15,21.22,1.93,21.80,10.88,5.03,204682
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,-197.06,87.72,0.12,3.14,5.45,0.24,5.45,3.15,2.03,140889
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-213.82,263.65,2.57,6.29,12.28,0.84,12.55,6.08,2.77,183596
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,-348.14,444.76,3.95,9.24,18.53,1.57,18.95,9.05,4.07,322360
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-289.69,444.76,5.00,11.15,21.22,1.93,21.80,10.88,5.03,204682
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-271.13,158.43,1.34,6.35,9.39,0.73,9.49,6.36,4.46,140691
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-289.40,293.05,4.35,10.20,17.27,1.56,17.81,9.93,4.96,183393
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-780.65,438.41,9.99,18.24,32.79,5.80,34.28,18.79,10.74,322306
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-219.76,438.41,12.06,20.41,30.89,7.09,33.16,21.11,12.92,204511
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-271.13,158.43,1.34,6.35,9.39,0.73,9.49,6.36,4.46,140691
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-289.40,293.05,4.35,10.20,17.27,1.56,17.81,9.93,4.96,183393
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-780.65,438.41,9.99,18.24,32.79,5.80,34.28,18.79,10.74,322306
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-219.76,438.41,12.06,20.41,30.89,7.09,33.16,21.11,12.92,204511
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-229.87,148.98,1.02,6.83,10.05,0.57,10.10,6.84,4.82,140691
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-186.08,275.65,4.88,11.17,18.11,1.56,18.75,10.78,5.61,183393
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-298.89,447.83,11.09,17.74,26.99,6.42,29.18,18.35,11.08,322306
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-194.52,447.83,12.99,20.07,29.79,7.84,32.50,20.98,13.06,204511
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-229.87,148.98,1.02,6.83,10.05,0.57,10.10,6.84,4.82,140691
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-186.08,275.65,4.88,11.17,18.11,1.56,18.75,10.78,5.61,183393
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-298.89,447.83,11.09,17.74,26.99,6.42,29.18,18.35,11.08,322306
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-194.52,447.83,12.99,20.07,29.79,7.84,32.50,20.98,13.06,204511
