AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
uruguay_1,S31RW057F,COP,md_S31RW057F_1sec_point,DTM,100.00,-0.01,-5469759454389958400000000000000000.00,-286284835185631040000000000000.00,-37112880029916998400000000000000.00,-131.59,-18167.40,-0.22,185554
uruguay_1,S31RW057F,SRTM_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-0.01,-5469759454389958400000000000000000.00,-286284835185631040000000000000.00,-37112880029916998400000000000000.00,-131.92,-18168.42,0.63,185554
uruguay_1,S31RW057F,ALOS_egm2008,md_S31RW057F_1sec_area,DTM,100.00,-0.02,-5469770595850311680000000000000000.00,-286305092725852416000000000000.00,-37114237533956499200000000000000.00,-131.67,-18166.32,0.43,185554
uruguay_1,S31RW057F,NASA_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-0.01,-5469759454389958400000000000000000.00,-286284835185631040000000000000.00,-37112880029916998400000000000000.00,-131.88,-18168.05,0.72,185554
uruguay_1,S31RW057F,ASTER_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-0.01,-5469759454389958400000000000000000.00,-286284835185631040000000000000.00,-37112880029916998400000000000000.00,-132.01,-18168.58,3.59,185554
uruguay_1,S31RW057F,FABDEM,md_S31RW057F_1sec_point,DTM,100.00,-0.01,-5469759454389958400000000000000000.00,-286284835185631040000000000000.00,-37112880029916998400000000000000.00,-131.59,-18167.64,-0.69,185554
