AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,N
oxford1,N51XW002C,COP,oxford1_point,DTM,83.53,-45.03,55.06,-0.62,1.62,3.04,-0.21,3.10,1.57,0.68,158864
oxford1,N51YW002C,COP,oxford1_point,DTM,83.09,-43.61,34.98,-1.17,2.87,4.79,-0.19,4.93,2.65,1.03,230284
oxford1,N51YW002D,COP,oxford1_point,DTM,77.05,-43.61,34.98,-1.48,3.31,5.23,-0.30,5.43,3.08,1.27,110649
oxford1,N51XW002C,SRTM_egm2008,oxford1_point,DTM,83.53,-21.92,47.09,-0.26,1.47,2.38,-0.43,2.39,1.51,1.05,119115
oxford1,N51YW002C,SRTM_egm2008,oxford1_point,DTM,83.09,-29.58,33.96,0.11,2.23,3.47,-0.09,3.47,2.23,1.39,172733
oxford1,N51YW002D,SRTM_egm2008,oxford1_point,DTM,77.05,-29.58,33.96,0.09,2.47,3.84,-0.16,3.84,2.46,1.49,83089
oxford1,N51XW002C,ALOS_egm2008,oxford1_area,DTM,83.53,-149.49,54.09,-2.29,2.65,4.50,-1.58,5.05,3.02,1.94,238431
oxford1,N51YW002C,ALOS_egm2008,oxford1_area,DTM,83.09,-128.70,34.62,-2.23,3.58,5.52,-1.22,5.95,3.66,2.15,345695
oxford1,N51YW002D,ALOS_egm2008,oxford1_area,DTM,77.05,-56.14,34.62,-2.73,3.93,5.91,-1.56,6.51,4.09,2.38,166384
oxford1,N51XW002C,NASA_egm2008,oxford1_point,DTM,83.53,-23.44,51.92,-0.67,1.67,2.55,-0.79,2.64,1.81,1.34,238255
oxford1,N51YW002C,NASA_egm2008,oxford1_point,DTM,83.09,-29.83,32.84,-0.17,2.35,3.46,-0.30,3.47,2.36,1.59,345462
oxford1,N51YW002D,NASA_egm2008,oxford1_point,DTM,77.05,-29.83,32.84,-0.22,2.55,3.77,-0.40,3.78,2.57,1.72,166002
oxford1,N51XW002C,ASTER_egm2008,oxford1_point,DTM,83.53,-142.30,47.73,-12.20,7.70,10.39,-10.21,16.02,12.49,10.26,238255
oxford1,N51YW002C,ASTER_egm2008,oxford1_point,DTM,83.09,-109.48,35.63,-8.49,6.81,9.05,-7.25,12.41,9.48,7.58,345462
oxford1,N51YW002D,ASTER_egm2008,oxford1_point,DTM,77.05,-64.82,35.63,-6.72,5.84,7.67,-5.99,10.19,7.92,6.47,166002
oxford1,N51XW002C,FABDEM,oxford1_point,DTM,83.53,-36.78,55.15,0.54,1.06,2.24,0.29,2.31,1.08,0.47,238255
oxford1,N51YW002C,FABDEM,oxford1_point,DTM,83.09,-56.76,39.14,0.17,1.83,3.59,0.24,3.59,1.85,0.75,345462
oxford1,N51YW002D,FABDEM,oxford1_point,DTM,77.05,-56.76,39.14,0.16,2.14,4.03,0.23,4.03,2.16,0.89,166002
