AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,N
uruguay_1,S31RW057F,COP,md_S31RW057F_1sec_point,DTM,100.00,-34.89,9880675368798069760000000000000000.00,350601239408179520000000000000.00,701160173327571840000000000000.00,48364243809958489600000000000000.00,-0.01,48365383230281350400000000000000.00,350601239408179520000000000000.00,1.07,184101
uruguay_1,S31RW057F,SRTM_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-30.06,9880675368798069760000000000000000.00,350601239408179520000000000000.00,701160173327571840000000000000.00,48364243809958489600000000000000.00,-0.57,48365383230281350400000000000000.00,350601239408179520000000000000.00,2.42,184101
uruguay_1,S31RW057F,ALOS_egm2008,md_S31RW057F_1sec_area,DTM,100.00,-51.89,69987999797672614400000000000000000.00,582196590233103488000000000000.00,1164335276987049980000000000000.00,165988670391754304000000000000000.00,-0.36,165989241073557216000000000000000.00,582196590233103488000000000000.00,1.47,184297
uruguay_1,S31RW057F,NASA_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-28.96,9880675368798069760000000000000000.00,350601239408179520000000000000.00,701160173327571840000000000000.00,48364243809958489600000000000000.00,-0.52,48365383230281350400000000000000.00,350601239408179520000000000000.00,2.40,184101
uruguay_1,S31RW057F,ASTER_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-51.36,9880675368798069760000000000000000.00,350601239408179520000000000000.00,701160173327571840000000000000.00,48364243809958489600000000000000.00,-3.31,48365383230281350400000000000000.00,350601239408179520000000000000.00,4.60,184101
uruguay_1,S31RW057F,FABDEM,md_S31RW057F_1sec_point,DTM,100.00,-28.39,9880675368798069760000000000000000.00,350601239408179520000000000000.00,701160173327571840000000000000.00,48364243809958489600000000000000.00,0.28,48365383230281350400000000000000.00,350601239408179520000000000000.00,0.51,184101
