AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-32.79,51.83,-0.35,1.76,2.32,-0.35,2.34,1.78,0.06,0.35,11436,3.68,8.9
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-16.75,16.49,2.25,1.26,1.74,2.29,2.85,2.47,2.34,2.25,128518,4.25,100
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-15.72,10.43,2.36,1.13,1.50,2.33,2.79,2.45,2.18,2.36,116102,4.17,90.34
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-16.75,16.49,1.15,2.41,3.16,1.12,3.37,2.59,0.33,1.15,10987,5.41,8.55
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-44.93,54.40,1.86,1.23,1.70,1.88,2.52,2.12,1.95,1.86,128518,3.84,100
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-34.12,17.85,1.93,1.11,1.47,1.92,2.43,2.07,1.79,1.93,115656,3.73,89.99
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-44.93,54.40,1.14,2.36,3.10,1.06,3.30,2.52,0.23,1.14,11436,5.36,8.9
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-8.81,10.18,-0.03,0.57,0.84,-0.02,0.85,0.57,0.40,0.03,128518,1.25,100
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-8.55,6.35,-0.00,0.51,0.71,-0.01,0.71,0.51,0.36,0.00,116102,1.1,90.34
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-8.81,10.18,-0.43,1.18,1.63,-0.33,1.68,1.21,0.03,0.43,10987,2.63,8.55
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-41.92,50.76,-0.41,0.58,0.86,-0.39,0.96,0.68,0.52,0.41,128518,1.43,100
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-41.92,16.20,-0.41,0.52,0.74,-0.39,0.85,0.63,0.46,0.41,115656,1.32,89.99
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-39.17,50.76,-0.43,1.15,1.63,-0.36,1.68,1.20,0.04,0.43,11436,2.56,8.9
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-17.32,17.51,-0.04,1.19,1.78,0.19,1.78,1.19,0.81,0.04,128877,2.62,100
