AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90,SLOPE_PC
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-22.07,28.95,-0.18,2.50,3.25,-0.23,3.26,2.51,2.01,0.18,127449,5.27,100
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-22.07,16.19,-0.22,2.47,3.19,-0.25,3.19,2.47,2.00,0.22,126542,5.21,99.29
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-12.97,28.95,5.58,4.80,6.10,5.61,8.26,6.76,0.01,5.58,907,13.23,0.71
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-22.07,29.03,-0.06,2.56,3.34,-0.13,3.34,2.57,2.06,0.06,127449,5.39,100
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-22.07,17.60,-0.11,2.53,3.27,-0.15,3.27,2.53,2.04,0.11,126507,5.33,99.26
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-14.16,29.03,5.96,4.94,6.25,5.84,8.63,7.09,0.01,5.96,942,14.05,0.74
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,ALL,99.45,-41.64,17.46,-0.20,1.50,2.13,-0.13,2.14,1.51,1.10,0.20,127449,3.22,100
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,FLAT,99.45,-41.64,12.83,-0.20,1.50,2.11,-0.13,2.12,1.50,1.09,0.20,126566,3.2,99.31
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,STEEP,99.45,-14.40,17.46,0.52,2.80,3.82,0.49,3.85,2.84,0.01,0.52,883,6.39,0.69
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,ALL,99.45,-41.64,17.60,-0.09,1.58,2.20,-0.06,2.20,1.58,1.18,0.09,127440,3.39,100
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,FLAT,99.45,-41.64,15.25,-0.09,1.57,2.18,-0.07,2.18,1.57,1.17,0.09,126520,3.37,99.28
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,STEEP,99.45,-14.40,17.60,0.91,2.94,4.03,0.78,4.13,3.02,0.01,0.91,920,6.61,0.72
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-20.14,26.99,-0.18,2.47,3.21,-0.25,3.21,2.48,2.00,0.18,127449,5.19,100
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-20.14,17.52,-0.23,2.44,3.14,-0.27,3.14,2.45,1.99,0.23,126542,5.13,99.29
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-13.88,26.99,5.98,4.67,5.92,6.09,8.42,6.95,0.01,5.98,907,13.24,0.71
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-20.14,27.87,-0.07,2.53,3.29,-0.15,3.29,2.53,2.04,0.07,127449,5.32,100
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-20.14,17.60,-0.12,2.50,3.22,-0.17,3.22,2.50,2.02,0.12,126507,5.25,99.26
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-15.07,27.87,6.34,4.79,6.08,6.33,8.78,7.29,0.01,6.34,942,13.98,0.74
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-70.27,26.96,-3.00,4.10,5.34,-2.61,6.13,4.64,3.68,3.00,127449,9.89,100
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-70.27,16.11,-3.05,4.07,5.28,-2.64,6.10,4.63,3.64,3.05,126542,9.85,99.29
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-27.81,26.96,4.12,6.13,7.78,4.45,8.80,7.09,0.02,4.12,907,14.59,0.71
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-70.29,28.10,-2.89,4.14,5.38,-2.51,6.11,4.63,3.67,2.89,127449,9.85,100
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-70.29,16.22,-2.94,4.11,5.32,-2.54,6.08,4.61,3.64,2.94,126507,9.8,99.26
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-27.99,28.10,4.45,6.29,7.89,4.75,9.06,7.32,0.02,4.45,942,15.12,0.74
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-17.72,23.21,0.83,1.78,2.46,0.64,2.60,1.87,1.34,0.83,127449,4.2,100
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-17.72,16.36,0.80,1.75,2.40,0.63,2.53,1.84,1.32,0.80,126542,4.14,99.29
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-9.55,23.21,4.78,4.49,5.59,4.45,7.35,5.94,0.01,4.78,907,12.46,0.71
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-17.77,24.40,0.94,1.88,2.59,0.73,2.76,1.99,1.43,0.94,127449,4.45,100
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-17.77,17.14,0.91,1.85,2.53,0.72,2.68,1.96,1.42,0.91,126507,4.39,99.26
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-9.66,24.40,5.26,4.80,5.97,5.15,7.95,6.41,0.01,5.26,942,13.1,0.74
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-52.04,70.93,0.55,8.14,10.93,0.08,10.94,8.13,6.09,0.55,98509,18.17,100
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-52.04,17.38,-4.07,6.35,8.36,-2.64,9.30,6.67,2.71,4.07,50696,15.08,51.46
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-43.42,70.93,5.46,8.72,11.19,5.07,12.45,9.68,2.53,5.46,47813,20.49,48.54
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-74.14,191.53,1.84,7.59,10.12,1.45,10.29,7.69,5.82,1.84,98509,17.03,100
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-52.04,17.32,-2.42,5.98,7.84,-1.19,8.21,5.99,2.38,2.42,45736,13.24,46.43
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-48.39,191.53,5.53,8.06,10.42,5.15,11.80,9.16,2.78,5.53,52773,19.22,53.57
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-35.90,69.14,4.28,7.94,10.29,2.94,11.15,8.26,6.09,4.28,98509,18.56,100
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-35.90,17.74,-1.44,5.03,6.52,-1.10,6.67,5.10,2.79,1.44,50696,10.83,51.46
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-28.11,69.14,10.35,7.90,10.08,9.65,14.45,11.60,2.62,10.35,47813,23.57,48.54
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-76.63,208.17,5.57,7.58,9.74,4.62,11.22,8.51,6.59,5.57,98509,18.61,100
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-45.23,17.89,-0.17,5.02,6.40,0.14,6.40,5.02,2.73,0.17,45736,10.51,46.43
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-52.36,208.17,10.55,7.29,9.39,10.10,14.12,11.53,3.18,10.55,52773,22.38,53.57
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,ALL,77.42,-66.78,45.79,1.27,6.17,8.33,0.98,8.42,6.22,4.62,1.27,98743,13.76,100
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,FLAT,77.42,-66.78,17.63,-2.07,4.94,6.84,-1.30,7.14,5.04,2.14,2.07,50697,10.85,51.34
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,STEEP,77.42,-51.17,45.79,4.79,6.40,8.31,4.49,9.59,7.47,2.03,4.79,48046,15.87,48.66
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,ALL,77.42,-137.52,405.80,2.58,4.18,6.02,2.15,6.55,4.58,3.37,2.58,98734,9.88,100
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,FLAT,77.42,-91.79,17.64,0.47,3.38,4.74,0.66,4.76,3.42,1.42,0.47,45667,7.18,46.25
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,STEEP,77.42,-104.17,405.80,4.39,4.45,6.40,3.78,7.76,5.57,1.66,4.39,53067,11.77,53.75
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-34.33,68.71,4.88,7.96,10.30,3.46,11.40,8.41,6.11,4.88,98509,19.05,100
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-34.33,17.83,-0.98,4.84,6.29,-0.71,6.36,4.88,2.80,0.98,50696,10.34,51.46
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-26.49,68.71,11.09,7.87,10.09,10.37,14.99,12.16,2.63,11.09,47813,24.34,48.54
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-76.75,210.99,6.16,7.58,9.73,5.15,11.52,8.73,6.74,6.16,98509,19.12,100
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-45.83,17.71,0.27,4.83,6.17,0.55,6.18,4.85,2.80,0.27,45736,10.15,46.43
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-52.57,210.99,11.27,7.24,9.36,10.83,14.65,12.10,3.26,11.27,52773,23.09,53.57
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-64.23,75.24,1.77,10.42,13.54,0.74,13.66,10.40,8.10,1.77,98509,22.54,100
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-60.46,17.92,-5.35,7.21,9.27,-4.33,10.70,8.06,3.83,5.35,50696,17.53,51.46
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-64.23,75.24,9.33,10.28,13.26,9.12,16.21,12.88,3.60,9.33,47813,26.33,48.54
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-75.48,194.78,3.06,10.23,13.22,2.45,13.57,10.42,8.25,3.06,98509,22.53,100
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-67.48,17.94,-4.39,7.31,9.39,-3.29,10.36,7.76,3.48,4.39,45736,16.74,46.43
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-65.74,194.78,9.52,9.79,12.65,9.56,15.83,12.72,4.05,9.52,52773,25.65,53.57
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-46.80,69.57,3.48,7.82,10.51,2.67,11.07,8.17,6.05,3.48,98509,18.45,100
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-46.80,17.85,-0.13,5.57,7.61,0.72,7.61,5.55,2.61,0.13,50696,12.28,51.46
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-37.16,69.57,7.31,9.22,11.72,7.01,13.82,10.94,2.43,7.31,47813,22.61,48.54
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-72.77,203.73,4.77,8.08,10.66,4.23,11.67,8.87,6.94,4.77,98509,19.16,100
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-49.34,17.94,0.91,5.98,7.86,1.72,7.91,6.12,2.91,0.91,45736,12.79,46.43
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-50.76,203.73,8.11,9.10,11.60,7.89,14.15,11.25,3.39,8.11,52773,22.89,53.57
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-83.41,113.58,5.00,12.29,15.74,4.54,16.51,12.85,10.46,5.00,98999,27.06,100
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-83.41,16.14,-8.78,9.15,11.36,-7.47,14.36,11.04,1.89,8.78,19916,24.35,20.12
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-72.67,113.58,8.47,11.50,14.75,7.96,17.01,13.30,8.02,8.47,79083,27.71,79.88
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-83.41,131.04,2.57,10.97,14.29,2.14,14.51,11.11,8.85,2.57,98999,23.48,100
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-83.41,17.55,-8.01,8.69,10.79,-6.87,13.44,10.35,1.79,8.01,22266,22.89,22.49
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-72.67,131.04,5.64,10.52,13.70,5.06,14.81,11.32,6.56,5.64,76733,23.71,77.51
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-91.68,112.12,11.28,11.61,14.67,10.55,18.51,14.58,12.10,11.28,98999,30.37,100
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-79.96,17.96,-2.81,6.51,8.29,-2.26,8.75,6.74,2.17,2.81,19916,13.83,20.12
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-91.68,112.12,14.83,10.68,13.77,14.31,20.24,16.56,9.27,14.83,79083,32.22,79.88
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-93.75,119.41,8.85,10.15,13.12,8.24,15.83,12.29,10.06,8.85,98999,25.63,100
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-79.96,18.00,-2.11,6.21,7.89,-1.52,8.16,6.32,2.03,2.11,22266,13.07,22.49
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-93.75,119.41,12.03,9.55,12.61,11.63,17.43,14.02,7.47,12.03,76733,27.55,77.51
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,ALL,77.56,-66.19,96.78,4.34,7.08,9.17,4.02,10.15,7.84,6.28,4.34,98984,16.64,100
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,FLAT,77.56,-44.08,17.87,-1.86,5.31,6.89,-1.34,7.14,5.40,1.14,1.86,19998,11.3,20.2
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,STEEP,77.56,-66.19,96.78,5.91,6.95,9.01,5.63,10.77,8.46,4.83,5.91,78986,17.55,79.8
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,ALL,77.56,-66.19,114.79,1.92,4.38,6.16,1.59,6.45,4.58,3.45,1.92,98993,9.65,100
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,FLAT,77.56,-51.98,17.11,-0.46,3.68,4.82,-0.24,4.84,3.69,0.72,0.46,22377,7.81,22.6
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,STEEP,77.56,-66.19,114.79,2.62,4.47,6.33,2.19,6.85,4.85,2.56,2.62,76616,10.17,77.4
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-204.19,104.40,12.12,11.70,14.83,11.33,19.15,15.11,12.61,12.12,98999,31.33,100
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-68.18,17.91,-2.07,6.31,8.02,-1.46,8.28,6.40,2.26,2.07,19916,13.09,20.12
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-204.19,104.40,15.70,10.78,13.98,15.16,21.02,17.30,9.62,15.70,79083,33.27,79.88
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-204.19,132.74,9.69,10.21,13.24,9.03,16.41,12.76,10.50,9.69,98999,26.53,100
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-68.68,17.84,-1.35,6.01,7.64,-0.77,7.76,6.02,2.09,1.35,22266,12.38,22.49
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-204.19,132.74,12.90,9.61,12.79,12.53,18.17,14.71,7.79,12.90,76733,28.44,77.51
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-121.51,147.90,9.18,15.19,19.31,8.84,21.38,16.84,14.00,9.18,98999,35.08,100
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-78.74,17.84,-8.78,9.68,12.37,-6.99,15.16,11.31,2.55,8.78,19916,25.41,20.12
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-121.51,147.90,13.70,13.96,18.07,13.68,22.68,18.23,10.74,13.70,79083,36.68,79.88
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-125.67,139.66,6.75,14.11,18.18,6.55,19.39,15.09,12.33,6.75,98999,31.42,100
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-78.74,17.93,-8.22,9.52,12.16,-6.36,14.68,10.90,2.51,8.22,22266,24.61,22.49
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-125.67,139.66,11.10,13.19,17.31,11.25,20.56,16.30,9.23,11.10,76733,32.81,77.51
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-77.04,122.35,7.87,12.45,15.88,7.18,17.73,13.84,11.27,7.87,98999,29.14,100
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-69.84,17.96,-3.28,9.32,11.61,-1.41,12.06,9.27,2.05,3.28,19916,19.43,20.12
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-77.04,122.35,10.68,12.33,15.58,10.28,18.89,14.99,8.65,10.68,79083,30.72,79.88
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-78.52,132.75,5.44,11.61,15.05,4.78,16.00,12.29,9.81,5.44,98999,26.02,100
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-73.16,17.95,-3.30,9.14,11.39,-1.74,11.86,9.16,2.05,3.30,22266,19.27,22.49
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-78.52,132.75,7.98,11.73,15.03,7.31,17.02,13.19,7.29,7.98,76733,27.4,77.51
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-49.51,43.17,-3.36,4.25,5.93,-2.81,6.81,4.98,3.69,3.36,127092,10.9,100
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-49.51,17.34,-3.70,4.06,5.55,-2.97,6.67,4.87,3.46,3.70,121018,10.68,95.22
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-43.33,43.17,3.50,6.41,8.56,3.31,9.25,7.00,0.15,3.50,6074,14.93,4.78
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,ALL,99.15,-72.55,241.84,7.15,9.66,14.93,3.50,16.55,9.74,5.36,7.15,127083,23.52,100
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,FLAT,99.15,-68.63,17.95,1.04,4.43,5.78,1.15,5.88,4.53,3.34,1.04,88751,9.74,69.84
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,STEEP,99.15,-72.55,241.84,21.28,13.16,19.38,17.27,28.78,21.78,1.32,21.28,38332,42.79,30.16
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-107.06,43.37,-3.90,4.94,7.25,-3.17,8.23,5.79,4.18,3.90,127092,12.55,100
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-107.06,17.23,-4.36,4.70,6.81,-3.34,8.09,5.66,3.93,4.36,121018,12.17,95.22
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-70.74,43.37,5.18,7.05,9.33,5.58,10.67,8.48,0.20,5.18,6074,16.75,4.78
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,ALL,99.15,-107.06,241.04,6.60,9.72,14.93,3.48,16.33,9.92,5.83,6.60,127083,23.19,100
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,FLAT,99.15,-107.06,17.91,0.64,4.97,6.63,0.98,6.66,5.03,3.67,0.64,88751,10.53,69.84
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,STEEP,99.15,-89.84,241.04,20.42,12.77,19.08,16.85,27.95,21.24,1.47,20.42,38332,41.31,30.16
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,ALL,99.15,-152.61,46.87,-7.24,7.92,12.47,-3.64,14.42,8.27,4.19,7.24,127083,20.83,100
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,FLAT,99.15,-152.61,17.57,-7.53,7.94,12.45,-3.80,14.55,8.34,3.90,7.53,120943,21.12,95.17
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,STEEP,99.15,-89.64,46.87,-1.45,7.06,11.46,0.11,11.55,6.90,0.19,1.45,6140,16.13,4.83
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,ALL,99.15,-152.61,242.05,3.27,8.06,14.15,1.70,14.53,8.11,4.16,3.27,127092,19.62,100
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,FLAT,99.15,-152.61,17.89,-0.00,4.48,7.16,0.70,7.16,4.48,2.62,0.00,88676,9.32,69.77
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,STEEP,99.15,-109.46,242.05,10.82,14.25,21.51,8.84,24.08,16.48,1.07,10.82,38416,35.57,30.23
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-90.40,43.37,-3.45,4.59,6.61,-3.01,7.46,5.40,4.05,3.45,127092,11.56,100
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-90.40,17.77,-3.92,4.32,6.12,-3.20,7.27,5.24,3.80,3.92,121018,11.14,95.22
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-50.18,43.37,6.09,6.55,8.57,6.15,10.51,8.43,0.19,6.09,6074,16.6,4.78
