AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90,SLOPE_PC
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,STEEP,99.11,-29.18,44.75,0.85,3.27,4.41,0.72,4.49,3.33,0.12,0.85,11439,7.04,9
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-42.49,51.83,-0.30,2.89,4.04,-0.49,4.05,2.92,2.20,0.30,127089,6.12,100
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-42.49,17.86,-0.59,2.54,3.33,-0.61,3.38,2.59,1.98,0.59,116102,5.43,91.35
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-32.79,51.83,2.73,6.01,7.82,2.60,8.29,6.39,0.17,2.73,10987,13.4,8.65
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.82,51.12,0.07,3.04,4.18,-0.14,4.18,3.03,2.31,0.07,127092,6.36,100
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.82,17.13,-0.23,2.68,3.50,-0.28,3.50,2.69,2.06,0.23,115656,5.65,91
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-36.95,51.12,3.16,5.93,7.73,3.11,8.35,6.48,0.19,3.16,11436,13.33,9
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-44.93,54.40,-2.88,4.47,6.00,-2.79,6.66,5.08,4.03,2.88,127089,10.77,100
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-34.12,17.85,-3.38,4.07,5.23,-3.04,6.23,4.81,3.61,3.38,116102,10.19,91.35
brazil,S08PW038C,ASTER,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-44.93,54.40,2.33,7.64,9.85,2.46,10.12,7.89,0.31,2.33,10987,16.4,8.65
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-45.40,53.29,-2.51,4.57,6.10,-2.45,6.60,5.03,3.97,2.51,127092,10.67,100
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-35.68,16.92,-3.03,4.16,5.35,-2.72,6.14,4.74,3.55,3.03,115656,10.04,91
brazil,S08PW038C,ASTER,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-45.40,53.29,2.71,7.55,9.73,2.86,10.10,7.91,0.32,2.71,11436,16.21,9
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-41.92,50.76,0.72,2.00,3.09,0.54,3.18,2.06,1.31,0.72,127089,4.71,100
