AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90,SLOPE_PC
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-51.24,41.04,0.80,7.20,8.92,0.31,8.95,7.19,0.61,0.80,47296,14.33,36.49
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-56.92,38.31,-0.72,3.88,5.89,-0.47,5.94,3.90,2.13,0.72,129599,10.16,100
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-17.20,18.64,-0.45,1.80,2.52,-0.35,2.56,1.83,1.09,0.45,79914,4.23,61.66
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-56.92,38.31,-1.15,7.31,9.08,-1.47,9.15,7.40,0.61,1.15,47526,14.55,36.67
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-39.75,915.38,2.69,4.20,29.08,0.91,29.21,3.82,1.55,2.69,129160,5.55,100
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-12.78,17.08,0.91,1.54,2.01,0.80,2.21,1.68,1.28,0.91,110427,3.55,85.5
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-39.75,51.06,5.15,7.68,9.44,5.25,10.76,8.71,0.17,5.15,16656,17.72,12.9
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-40.90,915.38,0.94,3.96,29.77,-0.36,29.79,3.66,1.49,0.94,129166,5.21,100
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-19.17,14.50,-0.56,1.58,2.03,-0.42,2.10,1.61,1.21,0.56,109909,3.46,85.09
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-40.90,50.04,1.17,7.28,9.01,1.65,9.09,7.38,0.17,1.17,17183,14.44,13.3
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-39.15,919.36,5.82,4.23,29.08,4.21,29.66,6.13,4.28,5.82,129160,8.42,100
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-12.44,25.33,4.12,1.86,2.40,4.08,4.77,4.20,3.83,4.12,110427,7.1,85.5
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-39.15,60.70,7.74,7.10,8.90,7.62,11.80,9.56,0.92,7.74,16656,19.21,12.9
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-43.00,919.36,4.07,4.12,29.78,2.75,30.06,4.89,3.02,4.07,129166,6.86,100
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-14.32,19.62,2.65,1.94,2.48,2.69,3.63,3.03,2.57,2.65,109909,5.72,85.09
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-43.00,59.60,3.78,6.68,8.47,3.94,9.28,7.36,0.42,3.78,17183,14.87,13.3
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,ALL,99.11,-30.60,27.32,3.84,1.65,2.31,3.19,4.48,3.85,3.20,3.84,128164,7.09,100
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,FLAT,99.11,-20.97,15.53,3.38,1.18,1.67,3.05,3.78,3.39,2.98,3.38,110358,5.48,86.11
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,STEEP,99.11,-6.45,27.32,6.84,2.73,3.40,6.85,7.63,6.86,1.57,6.84,16734,11.13,13.06
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,ALL,99.11,-32.19,20.33,2.04,1.23,1.70,1.99,2.66,2.21,2.03,2.04,128163,3.93,100
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,FLAT,99.11,-21.28,13.69,1.92,1.05,1.41,1.93,2.38,2.04,1.80,1.92,109819,3.5,85.69
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,STEEP,99.11,-9.24,20.33,2.83,2.18,2.76,2.91,3.95,3.28,0.36,2.83,17264,6.22,13.47
