AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90,SLOPE_PC
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-24.69,18.57,2.40,4.48,5.57,2.89,6.06,4.91,0.03,2.40,942,9.93,0.73
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,ALL,99.45,-19.21,17.75,2.08,0.95,1.36,1.82,2.48,2.09,1.82,2.08,128522,3.69,100
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,FLAT,99.45,-19.21,17.75,2.07,0.94,1.35,1.82,2.47,2.08,1.80,2.07,126566,3.67,98.48
brazil,S08QW038D,ALOS,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_area,DTM,STEEP,99.45,-3.58,15.14,2.85,1.73,2.26,2.48,3.64,2.92,0.05,2.85,883,5.98,0.69
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,ALL,99.45,-22.20,17.38,1.51,0.93,1.34,1.36,2.02,1.60,1.38,1.51,128521,2.98,100
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,FLAT,99.45,-22.20,17.38,1.50,0.92,1.33,1.36,2.01,1.60,1.36,1.50,126520,2.96,98.44
brazil,S08QW038D,ALOS,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_area,DSM,STEEP,99.45,-5.45,14.21,2.08,1.83,2.41,1.86,3.18,2.48,0.01,2.08,920,5.17,0.72
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-30.94,13.29,-0.66,1.71,2.20,-0.70,2.30,1.80,1.51,0.66,129600,3.71,100
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-12.83,12.71,-0.66,1.69,2.15,-0.70,2.25,1.79,1.47,0.66,126542,3.67,97.64
brazil,S08QW038D,NASA,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-27.42,13.29,-1.18,4.16,5.19,-0.98,5.32,4.22,0.01,1.18,907,8.24,0.7
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-31.75,13.57,-1.23,1.76,2.26,-1.26,2.57,2.04,1.74,1.23,129600,4.14,100
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-14.10,12.61,-1.23,1.73,2.21,-1.26,2.52,2.02,1.69,1.23,126507,4.11,97.61
brazil,S08QW038D,NASA,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-29.69,13.57,-1.88,4.38,5.47,-1.53,5.78,4.54,0.01,1.88,942,9.13,0.73
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-29.76,53.11,-2.86,3.00,3.93,-2.85,4.86,3.86,3.31,2.86,129600,7.73,100
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-29.76,53.11,-2.87,2.99,3.91,-2.85,4.85,3.86,3.23,2.87,126542,7.72,97.64
brazil,S08QW038D,ASTER,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-22.42,11.37,-2.67,4.16,5.19,-2.48,5.83,4.62,0.02,2.67,907,9.55,0.7
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-29.77,53.05,-3.44,3.00,3.93,-3.42,5.22,4.21,3.70,3.44,129600,8.26,100
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-29.77,53.05,-3.44,2.99,3.91,-3.42,5.21,4.20,3.61,3.44,126507,8.24,97.61
brazil,S08QW038D,ASTER,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-24.69,11.01,-3.42,4.37,5.45,-3.02,6.44,5.08,0.03,3.42,942,10.59,0.73
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-22.99,12.67,0.20,1.33,1.73,0.14,1.74,1.34,1.07,0.20,129600,2.79,100
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-9.84,9.28,0.21,1.31,1.67,0.14,1.68,1.31,1.04,0.21,126542,2.75,97.64
brazil,S08QW038D,FABDEM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-22.99,12.67,-0.69,4.30,5.24,-0.63,5.28,4.33,0.01,0.69,907,7.93,0.7
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-25.25,13.01,-0.37,1.40,1.83,-0.39,1.87,1.43,1.16,0.37,129600,2.97,100
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-12.48,8.68,-0.36,1.37,1.76,-0.38,1.80,1.40,1.13,0.36,126507,2.92,97.61
brazil,S08QW038D,FABDEM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-25.25,13.01,-1.41,4.63,5.62,-1.35,5.80,4.74,0.01,1.41,942,8.78,0.73
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-16.49,837.67,9.48,8.37,40.79,6.47,41.88,10.17,6.60,9.48,100897,17.85,100
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-11.60,36.16,5.78,4.86,6.15,4.90,8.44,6.36,2.77,5.78,50696,13.95,50.25
brazil,S24MW047C,COP,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-16.49,40.72,9.18,6.57,8.05,8.73,12.21,9.98,2.58,9.18,47813,20.17,47.39
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-548.74,837.67,0.41,7.48,45.95,-2.12,45.95,7.32,3.84,0.41,100945,10.04,100
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-27.83,16.91,-2.17,2.97,3.95,-1.95,4.51,3.44,1.57,2.17,45736,7.21,45.31
brazil,S24MW047C,COP,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-29.90,22.34,-2.20,5.44,6.69,-2.45,7.04,5.76,1.83,2.20,52773,11.32,52.28
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-15.48,833.54,11.90,7.85,40.61,9.02,42.32,12.11,9.03,11.90,100897,19.33,100
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-14.55,38.43,8.84,4.72,6.08,7.91,10.73,8.98,5.14,8.84,50696,17.18,50.25
brazil,S24MW047C,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-15.48,42.00,10.97,5.80,7.19,10.60,13.12,11.25,4.91,10.97,47813,20.61,47.39
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-554.12,833.54,2.84,7.48,45.92,0.43,46.01,7.05,3.64,2.84,100945,9.3,100
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-28.24,36.59,0.75,3.85,5.08,1.01,5.13,3.93,1.57,0.75,45736,8.09,45.31
brazil,S24MW047C,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-28.85,33.18,-0.17,4.83,6.09,-0.25,6.09,4.84,1.81,0.17,52773,9.88,52.28
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,ALL,77.42,-43.20,46.37,10.09,4.88,5.98,9.80,11.73,10.16,9.81,10.09,100517,17.68,100
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,FLAT,77.42,-27.23,46.37,8.75,4.57,5.81,7.75,10.50,8.83,5.33,8.75,50697,16.23,50.44
brazil,S24MW047C,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_area,DTM,STEEP,77.42,-43.20,45.60,11.58,4.67,5.78,12.04,12.94,11.64,5.13,11.58,48046,18.54,47.8
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,ALL,77.42,-230.63,43.91,0.46,2.11,3.30,0.69,3.33,2.18,1.66,0.46,100516,4.46,100
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,FLAT,77.42,-40.76,43.91,0.68,2.01,2.94,0.89,3.02,2.15,0.70,0.68,45667,4.34,45.43
brazil,S24MW047C,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_area,DSM,STEEP,77.42,-54.32,33.32,0.33,2.13,3.05,0.53,3.06,2.17,0.82,0.33,53067,4.52,52.79
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-19.55,826.54,7.36,7.84,40.58,4.49,41.24,8.63,5.07,7.36,100897,14.82,100
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-19.55,33.43,4.25,4.76,6.11,3.34,7.45,5.52,2.28,4.25,50696,12.69,50.25
brazil,S24MW047C,NASA,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-18.84,38.00,6.49,5.74,7.11,6.04,9.63,7.70,2.15,6.49,47813,16.07,47.39
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-559.12,826.54,-1.70,7.53,45.90,-4.09,45.93,8.33,4.83,1.70,100945,11.88,100
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-33.24,31.59,-3.82,3.99,5.24,-3.49,6.48,5.06,2.07,3.82,45736,10.7,45.31
brazil,S24MW047C,NASA,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-31.85,29.18,-4.68,4.84,6.09,-4.78,7.68,6.25,2.39,4.68,52773,12.48,52.28
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-41.10,833.55,8.92,10.09,41.15,5.90,42.10,11.25,7.16,8.92,100897,20.41,100
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-33.35,74.56,5.19,6.55,8.51,4.32,9.96,7.50,3.29,5.19,50696,16.26,50.25
brazil,S24MW047C,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-41.10,75.15,8.78,8.57,10.80,8.17,13.92,11.04,3.09,8.78,47813,23.07,47.39
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-550.12,833.55,-0.15,9.90,46.30,-3.05,46.30,9.95,6.10,0.15,100945,15.47,100
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-40.01,66.27,-2.84,5.98,7.89,-3.11,8.39,6.55,2.58,2.84,45736,13.62,45.31
brazil,S24MW047C,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-48.27,59.44,-2.56,7.60,9.69,-2.97,10.02,7.97,2.99,2.56,52773,16.4,52.28
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,ALL,77.42,-26.55,827.56,2.14,7.29,40.61,-0.52,40.67,6.79,3.72,2.14,100897,10.42,100
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,FLAT,77.42,-23.85,27.95,-0.32,3.64,4.93,-0.80,4.94,3.68,1.65,0.32,50696,8.14,50.25
brazil,S24MW047C,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047C_1sec_point,DTM,STEEP,77.42,-26.55,31.41,0.54,5.83,7.24,0.07,7.26,5.82,1.55,0.54,47813,11.89,47.39
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,ALL,77.42,-558.60,827.56,-6.93,7.97,46.06,-9.17,46.58,12.31,9.23,6.93,100945,18.01,100
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,FLAT,77.42,-37.17,16.00,-8.39,4.44,5.46,-8.02,10.01,8.52,4.60,8.39,45736,15.58,45.31
brazil,S24MW047C,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047C_1sec_point,DSM,STEEP,77.42,-39.88,15.10,-10.50,5.41,6.69,-10.33,12.45,10.74,5.23,10.50,52773,19.38,52.28
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-29.84,811.83,13.79,10.85,43.99,10.41,46.10,14.64,10.52,13.79,101081,24.51,100
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-14.94,78.80,9.56,5.97,7.45,9.20,12.12,10.06,1.92,9.56,19916,19.25,19.7
brazil,S24MW047D,COP,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-29.84,88.17,11.85,8.58,10.90,10.80,16.10,12.80,7.97,11.85,79083,25.62,78.24
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-41.46,811.83,1.81,9.49,45.02,-1.05,45.05,9.16,5.63,1.81,101100,13.43,100
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-32.58,61.83,-1.01,4.06,5.21,-1.21,5.31,4.17,1.14,1.01,22266,8.48,22.02
brazil,S24MW047D,COP,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-41.46,73.11,-0.64,7.35,9.18,-1.00,9.21,7.39,4.12,0.64,76733,14.23,75.9
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-36.10,811.56,15.39,10.42,43.92,12.20,46.54,15.84,12.23,15.39,101081,25.09,100
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-15.74,91.55,12.20,6.81,8.36,12.26,14.79,12.60,2.63,12.20,19916,22.9,19.7
brazil,S24MW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-36.10,115.24,13.20,7.86,10.34,12.16,16.77,13.67,9.66,13.20,79083,25.6,78.24
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-43.10,811.56,3.41,9.00,44.95,0.60,45.07,8.60,5.06,3.41,101100,12.16,100
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-27.73,74.03,1.27,5.23,6.50,1.59,6.63,5.37,1.05,1.27,22266,10.44,22.02
brazil,S24MW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-43.10,88.80,0.77,6.31,8.33,0.25,8.36,6.30,3.73,0.77,76733,12.59,75.9
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,ALL,77.56,-22.40,67.06,12.88,4.80,6.36,12.62,14.36,12.91,12.62,12.88,100743,20.39,100
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,FLAT,77.56,-4.93,46.42,11.02,4.37,5.45,11.12,12.30,11.05,5.01,11.02,19998,17.82,19.85
brazil,S24MW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_area,DTM,STEEP,77.56,-22.40,67.06,13.36,4.83,6.46,13.00,14.84,13.39,11.14,13.36,78986,21.09,78.4
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,ALL,77.56,-39.90,58.34,0.77,2.17,3.22,0.61,3.31,2.23,1.64,0.77,100744,4.51,100
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,FLAT,77.56,-22.78,33.97,0.65,1.55,2.17,0.59,2.27,1.63,0.34,0.65,22377,3.45,22.21
brazil,S24MW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_area,DSM,STEEP,77.56,-39.90,58.34,0.81,2.33,3.43,0.63,3.53,2.38,1.20,0.81,76616,4.77,76.05
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-50.89,806.56,11.20,10.52,43.94,8.02,45.35,12.71,8.51,11.20,101081,21,100
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-19.80,74.36,8.07,7.02,8.58,8.29,11.77,9.63,1.48,8.07,19916,19.06,19.7
brazil,S24MW047D,NASA,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-50.89,139.16,8.99,7.95,10.48,7.92,13.81,10.50,6.34,8.99,79083,21.53,78.24
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-71.65,806.56,-0.78,9.08,44.95,-3.58,44.96,9.34,5.80,0.78,101100,13.93,100
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-33.73,58.28,-2.91,5.48,6.76,-2.43,7.35,5.82,1.18,2.91,22266,12.24,22.02
brazil,S24MW047D,NASA,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-71.65,120.16,-3.43,6.37,8.43,-3.96,9.10,7.13,4.23,3.43,76733,14.29,75.9
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-88.98,805.56,7.22,13.73,45.42,5.02,45.99,14.33,9.87,7.22,101081,25.03,100
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-69.41,74.36,5.66,9.98,12.86,5.98,14.06,11.18,1.82,5.66,19916,23.01,19.7
brazil,S24MW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-88.98,93.64,4.61,11.53,14.89,4.68,15.58,12.15,7.46,4.61,79083,25.33,78.24
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-115.02,805.56,-4.76,13.15,46.62,-6.81,46.86,14.50,9.81,4.76,101100,24.86,100
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-73.90,59.17,-6.08,9.09,11.73,-5.87,13.21,10.36,2.01,6.08,22266,21.78,22.02
brazil,S24MW047D,ASTER,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-115.02,88.46,-7.65,10.93,14.41,-7.19,16.31,12.50,7.20,7.65,76733,25.48,75.9
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,ALL,77.56,-37.77,804.72,5.23,10.47,43.93,2.27,44.24,10.32,6.55,5.23,101081,15.96,100
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,FLAT,77.56,-24.51,65.63,2.59,6.11,7.55,2.99,7.98,6.51,1.23,2.59,19916,12.64,19.7
brazil,S24MW047D,FABDEM,md_MDT_sampa_ll_elev_1m_S24MW047D_1sec_point,DTM,STEEP,77.56,-37.77,78.29,2.89,8.16,10.45,2.04,10.84,8.30,4.99,2.89,79083,16.81,78.24
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,ALL,77.56,-55.24,804.72,-6.75,9.46,45.05,-9.14,45.56,12.90,9.56,6.75,101100,20.34,100
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,FLAT,77.56,-39.34,48.65,-8.41,5.06,6.27,-8.24,10.49,8.91,2.03,8.41,22266,16.56,22.02
brazil,S24MW047D,FABDEM,md_MDS_sampa_ll_elev_1m_S24MW047D_1sec_point,DSM,STEEP,77.56,-55.24,65.80,-9.54,7.15,9.05,-9.52,13.16,10.88,7.15,9.54,76733,21.16,75.9
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-20.46,799.31,5.36,4.21,29.65,3.68,30.13,5.59,3.73,5.36,129208,8.7,100
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-16.77,53.20,4.18,2.65,3.71,3.66,5.59,4.36,3.51,4.18,121018,8.48,93.66
brazil,S24TW047D,COP,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-20.46,46.04,4.99,4.49,5.95,4.56,7.77,5.98,0.18,4.99,6074,12.21,4.7
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,ALL,99.15,-138.91,799.31,-1.46,6.09,38.89,-2.02,38.92,6.53,2.77,1.46,129227,10.61,100
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,FLAT,99.15,-86.61,34.30,-2.34,3.02,4.67,-1.66,5.23,3.35,1.73,2.34,88751,6.98,68.68
brazil,S24TW047D,COP,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,STEEP,99.15,-138.91,44.19,-5.89,6.92,10.06,-3.75,11.65,7.59,0.69,5.89,38332,17.8,29.66
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-17.66,802.36,8.88,5.59,29.91,6.55,31.20,8.98,6.55,8.88,129208,14.81,100
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-12.94,75.37,7.72,4.02,5.77,6.52,9.63,7.80,6.26,7.72,121018,14.65,93.66
brazil,S24TW047D,SRTM,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-17.66,53.51,8.37,5.32,7.15,7.70,11.00,8.84,0.68,8.37,6074,16.94,4.7
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,ALL,99.15,-136.53,802.36,2.06,6.85,38.93,0.58,38.99,6.68,3.13,2.06,129227,10.68,100
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,FLAT,99.15,-85.37,74.34,0.52,3.68,5.39,0.65,5.41,3.72,2.01,0.52,88751,7.93,68.68
brazil,S24TW047D,SRTM,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,STEEP,99.15,-136.53,71.09,-0.80,7.27,10.70,0.21,10.72,7.22,0.84,0.80,38332,15.85,29.66
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,ALL,99.15,-11.78,90.86,7.33,4.58,7.53,5.26,10.51,7.36,5.26,7.33,128163,14.45,100
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,FLAT,99.15,-11.78,90.86,7.31,4.59,7.55,5.23,10.51,7.34,5.07,7.31,120943,14.44,94.37
brazil,S24TW047D,ALOS,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_area,DTM,STEEP,99.15,-2.74,73.18,8.12,4.75,7.57,5.76,11.10,8.13,0.61,8.12,6140,15.96,4.79
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,ALL,99.15,-127.26,70.83,-0.27,3.45,6.63,-0.16,6.63,3.45,1.65,0.27,128164,8.15,100
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,FLAT,99.15,-82.43,55.38,-0.36,2.30,4.06,-0.20,4.08,2.30,1.04,0.36,88676,4.94,69.19
brazil,S24TW047D,ALOS,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_area,DSM,STEEP,99.15,-127.26,70.83,-0.05,6.13,10.38,0.01,10.38,6.13,0.42,0.05,38416,15.61,29.97
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-19.10,798.36,6.18,5.50,29.87,3.90,30.51,6.62,4.02,6.18,129208,12.06,100
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-13.10,66.12,5.02,3.95,5.60,3.88,7.52,5.44,3.75,5.02,121018,11.93,93.66
brazil,S24TW047D,NASA,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,STEEP,99.15,-19.10,43.95,5.55,5.08,6.75,4.84,8.74,6.64,0.20,5.55,6074,13.97,4.7
brazil,S24TW047D,NASA,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,ALL,99.15,-140.53,798.36,-0.64,6.76,38.89,-2.09,38.90,6.97,3.48,0.64,129227,11,100
brazil,S24TW047D,NASA,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,FLAT,99.15,-80.37,41.64,-2.17,3.62,5.29,-2.02,5.72,4.05,2.26,2.17,88751,8.42,68.68
brazil,S24TW047D,NASA,md_MDS_sampa_ll_elev_1m_S24TW047D_1sec_point,DSM,STEEP,99.15,-140.53,56.34,-3.52,7.12,10.47,-2.44,11.05,7.41,0.95,3.52,38332,16.22,29.66
brazil,S24TW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,ALL,99.15,-44.50,795.36,6.94,6.33,30.13,5.12,30.92,7.92,5.47,6.94,129208,13.94,100
brazil,S24TW047D,ASTER,md_MDT_sampa_ll_elev_1m_S24TW047D_1sec_point,DTM,FLAT,99.15,-44.50,64.65,5.76,4.93,6.67,5.08,8.81,6.71,5.07,5.76,121018,13.74,93.66
