AREA,REF_TYPE,DEMIX_TILE,CRITERION,COP,ALOS,ASTER,SRTM,FABDEM,NASA
la_palma,DSM,N28XW018A,E_MAE,11.13,6.96,13.77,12.58,12.8,11.27
la_palma,DSM,N28XW018B,E_MAE,19.54,11.51,24.38,22,21.21,21.63
pyrenees,DSM,N43PW002B,E_MAE,9.98,6.07,12.38,10.51,13.31,10.32
pyrenees,DSM,N43PW002C,E_MAE,9.39,6.55,12.49,10.27,12.03,9.98
norway,DSM,N59QE009G,E_MAE,4.71,3.21,8.99,5.34,7.94,5.32
norway,DSM,N59RE009G,E_MAE,4.3,3.18,7.44,4.74,7.98,4.71
norway,DSM,N59TE009G,E_MAE,4.07,2.93,7.78,4.65,7.06,4.69
brazil,DSM,S08PW038C,E_MAE,2.9,1.53,6.1,4.18,3.05,3.9
brazil,DSM,S08PW038D,E_MAE,3.89,1.9,6.48,4.65,3.9,4.68
brazil,DSM,S08QW038C,E_MAE,3.66,2.21,5.17,4.89,3.76,4.22
brazil,DSM,S08QW038D,E_MAE,1.37,1.6,4.21,3.23,1.43,2.04
la_palma,DTM,N28UW018B,E_LE90,14.87,11.98,26.8,21.15,11.89,19.12
la_palma,DTM,N28VW018B,E_LE90,25.95,21.81,36.06,31.63,21.42,30.16
la_palma,DTM,N28XW018A,E_LE90,25.69,17.24,38.01,32.37,22.88,28.92
la_palma,DTM,N28XW018B,E_LE90,43.97,28.77,61.05,55.3,40.91,53.86
pyrenees,DTM,N43PW002B,E_LE90,21.01,19.19,25.15,19.02,18.77,19.51
pyrenees,DTM,N43PW002C,E_LE90,22.62,17.21,26.64,19.5,18.75,20.24
norway,DTM,N59QE009G,E_LE90,12.88,13.74,17,13.82,11.71,14.34
norway,DTM,N59RE009G,E_LE90,12.22,11.57,16.79,13.33,11.18,13.7
norway,DTM,N59TE009G,E_LE90,11.08,11.32,17.5,13.07,9.79,13.37
brazil,DTM,S08PW038C,E_LE90,4.02,4.72,8.47,7.57,3.7,4.61
