AREA,DEMIX_TILE,REF_TYPE,REF_SLOPE,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28VW018B,DTM,ALL,ELD_RMSE,15.02,17.12,16.96,20.23,21.33,23.94
la_palma,N28VW018B,DTM,ALL,ELD_MAE,9.23,10.47,12.89,13.58,15.17,16.77
la_palma,N28VW018B,DTM,ALL,ELD_LE90,21.42,25.95,21.81,30.16,31.63,36.06
la_palma,N28VW018B,DTM,STEEP,ELD_AVG,11.82,12.33,7.28,12.77,12.56,14.4
la_palma,N28VW018B,DTM,STEEP,ELD_STD,17.28,17.54,13.24,18.83,18.62,20.77
la_palma,N28VW018B,DTM,STEEP,ELD_RMSE,17.55,20.01,18.97,23.33,24.4,27.44
la_palma,N28VW018B,DTM,STEEP,ELD_MAE,11.76,13.48,14.18,16.17,17.62,19.95
la_palma,N28VW018B,DTM,STEEP,ELD_LE90,24.29,29.36,24.18,34.64,36.08,40.66
la_palma,N28VW018B,DTM,FLAT,ELD_AVG,2.76,2.8,1.86,3.08,3.13,4.48
la_palma,N28VW018B,DTM,FLAT,ELD_STD,3.91,4.18,3.41,4.44,4.46,6.63
la_palma,N28VW018B,DTM,FLAT,ELD_RMSE,3.99,4.47,10.12,8.15,9.9,10.73
la_palma,N28VW018B,DTM,FLAT,ELD_MAE,2.79,2.81,9.58,6.97,8.92,8.67
la_palma,N28VW018B,DTM,FLAT,ELD_LE90,6.38,6.17,12.01,11.79,13.7,16.31
la_palma,N28VW018B,DTM,URBAN,ELD_AVG,1.72,1.75,1.73,2.09,2.05,2.51
la_palma,N28VW018B,DTM,URBAN,ELD_STD,2.3,2.33,3.14,2.68,2.64,3.25
la_palma,N28VW018B,DTM,URBAN,ELD_RMSE,2.38,2.47,10.13,6.77,9.05,7.12
la_palma,N28VW018B,DTM,URBAN,ELD_MAE,1.76,1.84,9.74,6.24,8.65,6.42
la_palma,N28VW018B,DTM,URBAN,ELD_LE90,3.9,4.06,12.16,9.6,11.97,10.27
la_palma,N28VW018B,DTM,FOREST,ELD_AVG,10.31,11.17,6.54,11.36,11.22,13.19
la_palma,N28VW018B,DTM,FOREST,ELD_STD,15.76,16.19,12.24,17.32,17.13,19.29
la_palma,N28VW018B,DTM,FOREST,ELD_RMSE,15.9,18.14,17.77,21.38,22.45,25.34
la_palma,N28VW018B,DTM,FOREST,ELD_MAE,10.11,11.51,13.39,14.53,16.05,18.09
la_palma,N28VW018B,DTM,FOREST,ELD_LE90,22.45,27.17,22.79,31.7,33.23,37.84
la_palma,N28VW018B,DSM,ALL,ELD_AVG,10.2,9.45,5.42,9.83,9.82,11.02
la_palma,N28VW018B,DSM,ALL,ELD_STD,16.23,15.76,11.78,16.8,16.73,18.17
la_palma,N28VW018B,DSM,ALL,ELD_RMSE,16.85,15.79,13.18,17.61,18.24,20.16
la_palma,N28VW018B,DSM,ALL,ELD_MAE,10.7,9.36,7.95,10.8,11.81,12.95
la_palma,N28VW018B,DSM,ALL,ELD_LE90,23.68,21.53,12.17,23.81,24.69,28.8
la_palma,N28VW018B,DSM,STEEP,ELD_AVG,12.4,11.92,6.43,12.37,12.29,13.55
la_palma,N28VW018B,DSM,STEEP,ELD_STD,18.67,18.25,13.55,19.45,19.34,20.91
la_palma,N28VW018B,DSM,STEEP,ELD_RMSE,19.32,18.32,14.64,20.27,20.82,23.13
la_palma,N28VW018B,DSM,STEEP,ELD_MAE,13.11,11.89,8.21,12.96,13.7,15.43
la_palma,N28VW018B,DSM,STEEP,ELD_LE90,27.1,24.34,14.17,27.98,28.98,33.66
la_palma,N28VW018B,DSM,FLAT,ELD_AVG,3.95,2.49,2.25,3.11,3.3,3.62
la_palma,N28VW018B,DSM,FLAT,ELD_STD,5.86,4.2,4.19,4.98,5.13,5.7
la_palma,N28VW018B,DSM,FLAT,ELD_RMSE,6.8,4.35,8.06,6.46,8.01,8
la_palma,N28VW018B,DSM,FLAT,ELD_MAE,4.29,2.61,7.23,5.05,6.78,6.36
la_palma,N28VW018B,DSM,FLAT,ELD_LE90,10.92,5.53,9.64,8.79,10.94,11.23
la_palma,N28VW018B,DSM,URBAN,ELD_AVG,1.8,1.82,1.6,2.11,2.11,2.37
la_palma,N28VW018B,DSM,URBAN,ELD_STD,2.43,2.43,3.06,2.73,2.75,3.08
la_palma,N28VW018B,DSM,URBAN,ELD_RMSE,2.5,2.46,8.97,5.74,7.98,6.03
la_palma,N28VW018B,DSM,URBAN,ELD_MAE,1.86,1.85,8.55,5.15,7.51,5.32
la_palma,N28VW018B,DSM,URBAN,ELD_LE90,4,3.99,10.58,8.43,10.88,8.82
la_palma,N28VW018B,DSM,FOREST,ELD_AVG,10.94,10.29,5.78,10.73,10.71,11.94
la_palma,N28VW018B,DSM,FOREST,ELD_STD,17.06,16.61,12.46,17.76,17.66,19.16
la_palma,N28VW018B,DSM,FOREST,ELD_RMSE,17.81,16.64,13.68,18.54,19.1,21.26
la_palma,N28VW018B,DSM,FOREST,ELD_MAE,11.74,10.21,7.9,11.45,12.33,13.86
la_palma,N28VW018B,DSM,FOREST,ELD_LE90,25.09,22.56,12.69,25.28,26.14,30.55
la_palma,N28XW018A,DTM,ALL,ELD_AVG,11.43,11.41,4.36,11.51,11.3,14.39
la_palma,N28XW018A,DTM,ALL,ELD_STD,17.22,16.8,11.36,18.07,17.3,20.35
la_palma,N28XW018A,DTM,ALL,ELD_RMSE,17.25,17.68,15.8,20.87,22.2,24.43
la_palma,N28XW018A,DTM,ALL,ELD_MAE,11.32,11.4,11.34,13.32,15.71,16.93
la_palma,N28XW018A,DTM,ALL,ELD_LE90,22.88,25.69,17.24,28.92,32.37,38.01
la_palma,N28XW018A,DTM,STEEP,ELD_AVG,12.06,11.98,4.55,11.98,11.74,14.83
la_palma,N28XW018A,DTM,STEEP,ELD_STD,17.79,17.4,11.84,18.56,17.75,20.91
la_palma,N28XW018A,DTM,STEEP,ELD_RMSE,17.84,18.39,16.29,21.54,22.86,25.44
la_palma,N28XW018A,DTM,STEEP,ELD_MAE,11.97,12.2,11.56,14.04,16.38,18.05
