AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,SLOPE_PC,REC_ID,BEST_DEM,FABDEM_SCR,COP_SCR,ALOS_SCR,NASA_SCR,SRTM_SCR,ASTER_SCR,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,0,ALOS,2,3,1,5,4,6,ELD_AVG,5.21,5.44,2.63,5.81,5.77,8.09
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,1,ALOS,2,3,1,4,5,6,ELD_STD,7.14,7.3,4.14,7.85,7.89,10.53
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,2,FABDEM,1,3,2,4,5,6,ELD_RMSE,7.63,9.32,8.93,12.39,14.16,16.88
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,3,FABDEM,1,2,3,4,5,6,ELD_MAE,5.61,7.15,8.04,10.27,12.18,13.91
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,ALL,100,4,FABDEM,1,3,2,4,5,6,ELD_LE90,11.89,14.87,11.98,19.12,21.15,26.8
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,87.26,5,ALOS,2,3,1,5,4,6,ELD_AVG,5.45,5.63,2.62,6.02,5.97,8.19
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,87.26,6,ALOS,2,3,1,4,5,6,ELD_STD,7.41,7.55,3.97,8.11,8.15,10.64
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,87.26,7,FABDEM,1,3,2,4,5,6,ELD_RMSE,7.97,9.72,8.89,12.77,14.55,17.35
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,87.26,8,FABDEM,1,2,3,4,5,6,ELD_MAE,5.94,7.57,8.04,10.6,12.49,14.39
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,STEEP,87.26,9,ALOS,2,3,1,4,5,6,ELD_LE90,12.41,15.4,12.03,19.63,21.7,27.3
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,12.16,10,ALOS,2,3,1,4,5,6,ELD_AVG,3.04,3.33,2.39,3.85,3.9,6.43
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,12.16,11,FABDEM,1,2,3,4,5,6,ELD_STD,4.02,4.51,4.64,5.19,5.24,8.83
la_palma,N28UW018B,28.55,-17.85,952.47,37.05,7.39,1940.44,61.6,1.14,DTM,FLAT,12.16,12,FABDEM,1,2,4,3,5,6,ELD_RMSE,4.08,5.71,9.35,9.33,11.23,13.32
