AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,REC_ID,BEST_DEM,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FLAT,850,ALOS,ELD_STD,14.56,14.57,10.99,16.24,16.33,17.38
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FLAT,850,FABDEM,ELD_RMSE,14.71,14.87,15.62,17.88,18.9,20.19
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FLAT,850,COP,ELD_MAE,8.69,7.5,11.4,9.61,11.15,12.14
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FLAT,850,FABDEM,ELD_LE90,16.34,18.93,18.3,23.62,25.74,29.4
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,URBAN,853,ALOS,ELD_AVG,5.82,5.91,1.35,5.69,6.05,6.5
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,URBAN,853,ALOS,ELD_STD,8.34,8.35,1.96,8.08,8.25,9.55
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,URBAN,853,FABDEM,ELD_RMSE,8.34,8.34,8.67,9.42,10.41,12.62
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,URBAN,853,COP,ELD_MAE,6.02,5.86,8.46,6.11,7.27,8.66
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,URBAN,853,ALOS,ELD_LE90,13.79,13.92,10.64,17.34,18.34,21.73
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FOREST,852,ALOS,ELD_AVG,18.38,18.26,10.94,19.51,19.4,20.33
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FOREST,852,ALOS,ELD_STD,26.55,26.2,25.86,28.27,27.82,28.61
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FOREST,852,FABDEM,ELD_RMSE,26.79,28.38,30.69,32.92,33.74,37.15
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FOREST,852,ALOS,ELD_MAE,18.13,19,17.64,22.27,23.55,27.03
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DTM,FOREST,852,ALOS,ELD_LE90,35.8,39.46,28.35,48.35,50.51,57.07
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,ALL,854,ALOS,ELD_AVG,20.68,19.92,10.34,21.79,21.46,22.26
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,ALL,854,ALOS,ELD_STD,30.75,29.75,26.37,32.42,31.64,32.31
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,ALL,854,ALOS,ELD_RMSE,30.87,30,27.54,34.08,34.05,36.44
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,ALL,854,ALOS,ELD_MAE,21.21,19.54,11.51,21.63,22,24.38
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,ALL,854,ALOS,ELD_LE90,41.57,40.47,19.59,48.64,49.71,55.01
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,STEEP,856,ALOS,ELD_AVG,21.08,20.29,10.57,22.15,21.79,22.51
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,STEEP,856,ALOS,ELD_STD,31.13,30.12,26.72,32.79,32,32.62
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,STEEP,856,ALOS,ELD_RMSE,31.23,30.39,27.9,34.52,34.48,36.91
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,STEEP,856,ALOS,ELD_MAE,21.54,19.95,11.66,22.08,22.43,24.85
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,STEEP,856,ALOS,ELD_LE90,42.09,41.18,20.1,49.53,50.37,55.68
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FLAT,855,ALOS,ELD_AVG,8.44,6.74,4.06,8.41,8.64,9.89
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FLAT,855,ALOS,ELD_STD,15.39,14.24,12.34,16.25,16.18,17.54
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FLAT,855,ALOS,ELD_RMSE,17.07,14.35,13.7,16.41,16.75,18.35
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FLAT,855,ALOS,ELD_MAE,11.53,7.55,7.16,8.36,9.1,10.46
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FLAT,855,ALOS,ELD_LE90,22.97,15.51,9.83,19.32,19.74,23.13
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,URBAN,858,ALOS,ELD_AVG,5.8,5.94,1.29,5.73,6.05,6.36
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,URBAN,858,ALOS,ELD_STD,8.41,8.44,1.79,8.11,8.28,9.46
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,URBAN,858,ALOS,ELD_RMSE,8.49,8.45,7.86,9.09,10,12.07
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,URBAN,858,NASA,ELD_MAE,6.37,6.21,7.67,5.81,6.88,8.08
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,URBAN,858,ALOS,ELD_LE90,12.8,13.85,9.64,16.18,17.18,20.99
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FOREST,857,ALOS,ELD_AVG,18.63,18.05,9.86,19.45,19.32,20.48
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FOREST,857,ALOS,ELD_STD,27.29,26.52,25.61,28.67,28.19,29.2
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FOREST,857,COP,ELD_RMSE,27.81,26.59,26.71,29.75,29.97,32.72
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FOREST,857,ALOS,ELD_MAE,19.8,17.82,10.79,19.29,19.71,22.32
la_palma,N28XW018B,28.75,-17.85,1453.36,76.72,22.65,2066.3,87.42,0.28,DSM,FOREST,857,ALOS,ELD_LE90,38.24,35.38,17.87,41.99,43.64,50.03
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,ALL,950,FABDEM,ELD_AVG,0.68,1.53,2.14,2.21,2.48,2.92
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,ALL,950,FABDEM,ELD_STD,1.28,2.39,4.58,3.5,3.9,4.66
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,ALL,950,FABDEM,ELD_RMSE,1.35,2.84,5.94,3.59,5.19,9.66
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,ALL,950,FABDEM,ELD_MAE,0.74,1.79,3.85,2.17,3.75,8.63
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,ALL,950,FABDEM,ELD_LE90,1.47,3.97,6.3,4.5,7.05,12.44
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,STEEP,952,ALOS,ELD_AVG,3.2,2.92,2.18,2.41,2.26,3.74
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,STEEP,952,SRTM,ELD_STD,3.84,3.54,2.86,2.85,2.71,4.52
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,STEEP,952,SRTM,ELD_RMSE,3.74,3.44,2.85,5.21,2.72,8.81
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,STEEP,952,ALOS,ELD_MAE,3.19,3.04,2.36,4.69,2.49,8.11
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,STEEP,952,SRTM,ELD_LE90,6.45,5.57,5.4,9.22,5.22,14.95
