AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90
la_palma,N28XW018B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-246.44,442.06,12.09,22.06,33.42,5.28,35.54,21.82,12.34,12.09,130321,52.47
norway,N59QE009G,COP,md_dtm1m_1.5x1sec_point,DTM,76.65,-88.17,129.18,0.77,7.02,10.16,0.24,10.19,7.00,4.74,0.77,110530,16.26
norway,N59RE009G,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,0.55,6.04,8.56,0.23,8.58,6.04,4.16,0.55,144761,13.92
norway,N59RE010A,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,0.06,5.79,8.13,-0.03,8.13,5.79,4.07,0.06,144761,13.34
norway,N59RE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,-0.74,4.96,7.17,-0.30,7.21,4.95,3.22,0.74,144734,12.06
norway,N59RE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,-2.25,4.36,6.34,-0.49,6.73,4.09,1.85,2.25,144743,11.53
norway,N59TE009G,COP,md_dtm1m_1.5x1sec_point,DTM,93.44,-88.17,129.18,0.04,5.06,7.12,0.00,7.12,5.06,3.55,0.04,134809,11.5
norway,N59TE010A,COP,md_dtm1m_1.5x1sec_point,DTM,99.12,-88.17,129.18,-0.35,4.87,6.88,-0.22,6.89,4.87,3.41,0.35,143220,11.22
norway,N59TE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,-1.20,4.53,6.69,-0.42,6.80,4.48,2.62,1.20,144737,11.39
norway,N59TE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-88.17,129.18,-0.85,2.95,5.49,0.00,5.56,2.54,0.00,0.85,144752,8.55
norway,N59QE009G,COP,md_dsm1m_1sec_point,DSM,76.65,-501.61,138.44,2.24,7.89,11.25,1.03,11.47,7.88,5.34,2.24,110539,18.33
norway,N59RE009G,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,138.44,1.98,6.65,9.41,1.09,9.62,6.68,4.61,1.98,144749,15.19
norway,N59RE010A,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,138.44,2.15,6.38,8.90,1.25,9.15,6.43,4.50,2.15,144731,14.57
norway,N59RE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,138.44,1.76,5.44,7.75,0.61,7.95,5.37,3.47,1.76,144755,13.01
norway,N59RE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,138.44,1.25,4.29,6.56,0.09,6.68,4.09,2.07,1.25,144761,10.98
