AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90
norway,N59RE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,98.86,2.58,6.63,9.69,1.23,10.02,6.63,4.16,2.58,216564,15.67
norway,N59RE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,98.86,0.87,5.16,8.26,0.02,8.31,5.04,2.91,0.87,216952,12.33
norway,N59TE009G,ALOS,md_dsm1m_1sec_area,DSM,93.44,-466.56,98.86,0.26,4.81,7.09,0.10,7.09,4.81,3.25,0.26,201182,10.78
norway,N59TE010A,ALOS,md_dsm1m_1sec_area,DSM,99.12,-466.56,98.86,0.65,5.21,7.50,0.22,7.52,5.19,3.55,0.65,214495,11.73
norway,N59TE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,107.41,3.19,6.33,8.95,1.30,9.51,6.24,3.78,3.19,216555,15.24
norway,N59TE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,719.87,1.21,4.54,9.53,0.03,9.61,4.20,1.66,1.21,156588,11.33
norway,N59QE009G,NASA,md_dtm1m_1sec_point,DTM,76.65,-106.85,144.87,4.09,8.88,12.24,2.12,12.91,8.92,6.07,4.09,165644,20.59
norway,N59RE009G,NASA,md_dtm1m_1sec_point,DTM,100.00,-106.85,144.87,3.30,7.31,9.87,1.91,10.41,7.41,5.21,3.30,216934,16.83
norway,N59RE010A,NASA,md_dtm1m_1sec_point,DTM,100.00,-106.85,144.87,3.09,7.06,9.58,1.72,10.06,7.13,4.98,3.09,216934,16.26
norway,N59RE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-106.85,144.87,1.83,5.54,7.65,0.60,7.86,5.45,3.65,1.83,216934,12.73
norway,N59RE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-106.85,144.87,-0.26,3.69,5.96,-0.29,5.97,3.69,2.19,0.26,216961,8.96
norway,N59TE009G,NASA,md_dtm1m_1sec_point,DTM,93.44,-106.85,144.87,2.06,6.10,8.33,1.13,8.59,6.13,4.42,2.06,202091,13.55
norway,N59TE010A,NASA,md_dtm1m_1sec_point,DTM,99.12,-112.11,144.87,2.05,5.91,8.13,0.97,8.39,5.91,4.16,2.05,214679,13.33
norway,N59TE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-112.11,144.87,1.02,4.71,6.81,0.08,6.89,4.63,3.00,1.02,216925,10.87
norway,N59TE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-112.11,144.87,0.17,2.77,6.04,-0.00,6.04,2.67,0.00,0.17,216952,8.22
norway,N59QE009G,NASA,md_dsm1m_1sec_point,DSM,76.65,-501.56,132.97,4.59,8.98,12.26,2.53,13.09,9.09,6.12,4.59,165664,21.28
norway,N59RE009G,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,132.97,3.93,7.76,10.55,2.33,11.26,7.92,5.45,3.93,216943,18.19
norway,N59RE010A,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,147.91,4.24,7.46,10.10,2.66,10.95,7.73,5.33,4.24,216916,17.8
norway,N59RE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,147.91,3.71,6.71,9.15,1.68,9.87,6.68,4.19,3.71,216952,16.22
norway,N59RE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,147.91,2.89,5.65,8.06,0.41,8.56,5.24,2.74,2.89,216961,13.78
norway,N59TE009G,NASA,md_dsm1m_1sec_point,DSM,93.44,-501.56,147.91,3.07,6.92,9.46,1.93,9.95,7.06,4.98,3.07,202100,15.88
norway,N59TE010A,NASA,md_dsm1m_1sec_point,DSM,99.12,-501.56,147.91,3.47,6.84,9.29,2.06,9.91,6.99,4.83,3.47,214643,16
norway,N59TE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,147.91,3.47,6.35,8.78,1.41,9.44,6.25,3.78,3.47,216925,15.45
norway,N59TE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-501.56,806.71,2.59,5.65,10.21,0.04,10.53,4.98,1.86,2.59,157099,14.24
norway,N59QE009G,ASTER,md_dtm1m_1sec_point,DTM,76.65,-142.49,147.76,2.53,12.45,16.94,0.46,17.13,12.33,9.03,2.53,165644,26.95
norway,N59RE009G,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,159.77,1.32,10.56,14.12,0.27,14.18,10.53,8.02,1.32,216934,22.75
norway,N59RE010A,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,159.77,0.08,11.25,15.40,-0.93,15.40,11.24,8.39,0.08,216934,24.52
norway,N59RE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,159.77,-0.90,8.28,11.49,-1.78,11.53,8.40,6.26,0.90,216934,18.15
norway,N59RE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,159.77,-2.86,5.79,8.55,-2.59,9.01,6.19,4.49,2.86,216961,13.98
norway,N59TE009G,ASTER,md_dtm1m_1sec_point,DTM,93.44,-142.49,159.77,-1.01,10.38,13.97,-1.64,14.01,10.46,8.09,1.01,202091,22.3
norway,N59TE010A,ASTER,md_dtm1m_1sec_point,DTM,99.12,-142.49,159.77,-1.37,9.53,12.90,-1.72,12.97,9.64,7.41,1.37,214679,20.75
norway,N59TE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,167.05,-4.85,9.10,12.67,-4.36,13.57,9.86,7.39,4.85,216925,21.59
norway,N59TE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-142.49,167.05,-1.17,4.60,8.43,-0.00,8.51,4.12,0.00,1.17,216952,12.95
norway,N59QE009G,ASTER,md_dsm1m_1sec_point,DSM,76.65,-501.56,152.15,3.03,12.32,16.66,1.17,16.94,12.27,8.98,3.03,165664,27.03
norway,N59RE009G,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,152.15,1.95,10.69,14.25,0.81,14.39,10.66,8.12,1.95,216943,23.05
norway,N59RE010A,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,155.31,1.23,11.28,15.28,0.19,15.33,11.25,8.44,1.23,216916,24.5
norway,N59RE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,155.31,0.97,9.08,12.35,-0.41,12.39,9.01,6.60,0.97,216952,19.83
norway,N59RE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,155.31,0.30,7.09,10.38,-0.05,10.39,7.03,4.84,0.30,216961,16.34
norway,N59TE009G,ASTER,md_dsm1m_1sec_point,DSM,93.44,-501.56,155.31,-0.00,10.64,14.27,-0.60,14.27,10.64,8.20,0.00,202100,22.77
norway,N59TE010A,ASTER,md_dsm1m_1sec_point,DSM,99.12,-501.56,155.31,0.05,10.01,13.44,-0.47,13.44,10.01,7.66,0.05,214643,21.63
norway,N59TE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,164.81,-2.40,10.09,13.89,-2.51,14.09,10.32,7.79,2.40,216925,22.61
norway,N59TE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-501.56,806.71,0.72,6.82,12.44,0.02,12.46,6.58,3.11,0.72,157099,17.97
norway,N59QE009G,FABDEM,md_dtm1m_1sec_point,DTM,76.65,-93.63,158.57,4.21,9.13,12.87,2.34,13.54,9.27,6.19,4.21,164852,21.86
norway,N59RE009G,FABDEM,md_dtm1m_1sec_point,DTM,100.00,-93.63,158.57,3.57,7.75,10.81,2.15,11.38,7.92,5.40,3.57,215851,18.35
norway,N59TE009G,FABDEM,md_dtm1m_1sec_point,DTM,93.44,-93.63,158.57,2.38,6.16,8.66,1.49,8.98,6.26,4.37,2.38,201047,14.13
norway,N59QE009G,FABDEM,md_dsm1m_1sec_point,DSM,76.65,-88.98,134.57,4.73,9.22,12.78,2.87,13.63,9.48,6.46,4.73,164872,22.06
norway,N59RE009G,FABDEM,md_dsm1m_1sec_point,DSM,100.00,-88.98,134.57,4.21,8.01,11.08,2.66,11.85,8.27,5.72,4.21,215860,18.94
norway,N59TE009G,FABDEM,md_dsm1m_1sec_point,DSM,93.44,-88.98,134.57,3.37,6.73,9.28,2.31,9.87,6.99,4.96,3.37,201056,15.66
pyrenees,N43PW002B,COP,md_dtm_2m_1sec_point,DTM,100.00,-77.73,78.50,3.10,8.39,11.49,2.53,11.90,8.68,6.35,3.10,130321,19.3
pyrenees,N43PW002C,COP,md_dtm_2m_1sec_point,DTM,100.00,-77.73,78.50,2.98,7.82,10.71,2.41,11.11,8.11,5.92,2.98,130312,18.04
pyrenees,N43PW002B,COP,md_dsm_5m_1sec_point,DSM,100.00,-73.35,81.03,1.70,8.79,12.11,1.20,12.23,8.85,6.37,1.70,130321,19.8
pyrenees,N43PW002C,COP,md_dsm_5m_1sec_point,DSM,100.00,-73.35,82.78,1.36,7.97,11.01,0.99,11.10,8.01,5.79,1.36,130321,17.8
pyrenees,N43PW002B,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-67.00,77.84,5.64,8.93,11.79,4.74,13.07,9.79,7.51,5.64,130321,21.12
