AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90
norway,N59RE010A,ALOS,md_dsm1m_1sec_area,DSM,100.00,-44.15,47.29,-1.30,2.48,3.66,-0.81,3.88,2.56,1.65,1.30,217322,5.88
norway,N59RE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-44.15,47.29,-2.43,2.79,3.92,-1.93,4.61,3.30,2.31,2.43,216600,7.56
norway,N59RE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-44.15,47.29,-1.13,2.38,3.54,-0.60,3.72,2.39,1.49,1.13,216961,5.89
norway,N59TE009G,ALOS,md_dsm1m_1sec_area,DSM,93.44,-44.15,47.29,0.02,1.60,2.32,0.06,2.32,1.60,1.09,0.02,201838,3.57
norway,N59TE010A,ALOS,md_dsm1m_1sec_area,DSM,99.12,-44.15,47.29,-0.42,1.91,2.68,-0.18,2.71,1.90,1.31,0.42,214913,4.31
norway,N59TE010B,ALOS,md_dsm1m_1sec_area,DSM,100.00,-44.15,47.29,-2.93,2.75,3.63,-2.34,4.67,3.42,2.54,2.93,216600,7.71
norway,N59TE010C,ALOS,md_dsm1m_1sec_area,DSM,100.00,-245.70,47.29,-1.11,2.04,4.54,-0.12,4.68,1.90,0.89,1.11,157898,4.94
norway,N59QE009G,NASA,md_dtm1m_1sec_point,DTM,76.65,-53.70,34.65,-4.01,3.64,4.95,-3.25,6.37,4.64,3.48,4.01,166320,10.1
norway,N59RE009G,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,34.65,-3.26,2.79,3.72,-2.70,4.94,3.70,2.87,3.26,216961,7.92
norway,N59RE010A,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,37.32,-3.05,2.81,3.78,-2.52,4.86,3.59,2.73,3.05,216961,7.82
norway,N59RE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,37.32,-1.92,2.32,3.07,-1.35,3.62,2.57,1.76,1.92,216961,5.96
norway,N59RE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,37.32,-0.43,1.74,2.65,0.00,2.68,1.65,0.99,0.43,216961,3.87
norway,N59TE009G,NASA,md_dtm1m_1sec_point,DTM,93.44,-53.70,37.32,-2.02,2.36,3.20,-1.63,3.78,2.76,2.05,2.02,202756,6.05
norway,N59TE010A,NASA,md_dtm1m_1sec_point,DTM,99.12,-53.70,41.39,-2.08,2.38,3.26,-1.66,3.86,2.78,2.03,2.08,215062,6.17
norway,N59TE010B,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,41.39,-1.25,2.03,2.84,-0.72,3.11,2.08,1.32,1.25,216961,4.86
norway,N59TE010C,NASA,md_dtm1m_1sec_point,DTM,100.00,-53.70,43.02,-0.49,1.56,2.88,0.00,2.92,1.34,0.04,0.49,216961,4.1
norway,N59QE009G,NASA,md_dsm1m_1sec_point,DSM,76.65,-53.70,33.74,-4.03,3.37,4.53,-3.29,6.06,4.52,3.45,4.03,166315,9.81
norway,N59RE009G,NASA,md_dsm1m_1sec_point,DSM,100.00,-53.70,33.74,-3.78,2.78,3.68,-3.15,5.28,4.06,3.22,3.78,216961,8.54
norway,N59RE010A,NASA,md_dsm1m_1sec_point,DSM,100.00,-53.70,41.35,-3.67,2.68,3.59,-3.15,5.14,3.97,3.22,3.67,216961,8.22
norway,N59RE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-53.70,41.35,-3.31,2.67,3.41,-2.68,4.75,3.57,2.74,3.31,216961,7.97
norway,N59RE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-53.70,41.35,-2.71,2.63,3.41,-1.97,4.36,3.04,2.12,2.71,216961,7.25
norway,N59TE009G,NASA,md_dsm1m_1sec_point,DSM,93.44,-53.70,41.35,-3.04,2.42,3.28,-2.59,4.47,3.42,2.71,3.04,202756,7.17
norway,N59TE010A,NASA,md_dsm1m_1sec_point,DSM,99.12,-53.70,45.84,-3.15,2.46,3.33,-2.73,4.59,3.51,2.83,3.15,215062,7.36
norway,N59TE010B,NASA,md_dsm1m_1sec_point,DSM,100.00,-53.70,45.84,-3.11,2.64,3.42,-2.53,4.63,3.43,2.63,3.11,216961,7.68
norway,N59TE010C,NASA,md_dsm1m_1sec_point,DSM,100.00,-236.04,45.84,-2.12,2.76,4.98,-0.94,5.41,2.73,1.50,2.12,158406,7.05
norway,N59QE009G,ASTER,md_dtm1m_1sec_point,DTM,76.65,-50.97,40.63,-2.07,4.33,5.77,-1.48,6.13,4.48,3.35,2.07,166320,9.71
norway,N59RE009G,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,40.63,-0.96,3.49,4.62,-0.57,4.72,3.51,2.69,0.96,216961,7.52
norway,N59RE010A,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,41.02,-0.31,3.71,5.02,0.08,5.03,3.69,2.81,0.31,216961,7.92
norway,N59RE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,41.02,0.20,2.92,3.94,0.58,3.95,2.95,2.31,0.20,216961,6.14
norway,N59RE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,41.02,1.33,2.15,3.09,1.58,3.36,2.49,2.10,1.33,216961,5.11
norway,N59TE009G,ASTER,md_dtm1m_1sec_point,DTM,93.44,-50.97,41.03,1.64,3.44,4.69,1.76,4.97,3.76,3.00,1.64,202756,7.79
norway,N59TE010A,ASTER,md_dtm1m_1sec_point,DTM,99.12,-50.97,41.03,0.89,3.21,4.34,1.12,4.43,3.35,2.65,0.89,215062,7.03
norway,N59TE010B,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,41.03,2.67,3.29,4.55,2.63,5.28,4.01,3.26,2.67,216961,8.23
norway,N59TE010C,ASTER,md_dtm1m_1sec_point,DTM,100.00,-50.97,41.07,0.41,1.81,3.32,0.00,3.35,1.66,0.05,0.41,216961,4.97
norway,N59QE009G,ASTER,md_dsm1m_1sec_point,DSM,76.65,-50.97,40.55,-2.08,4.12,5.47,-1.59,5.85,4.32,3.22,2.08,166315,9.51
norway,N59RE009G,ASTER,md_dsm1m_1sec_point,DSM,100.00,-50.97,40.55,-1.50,3.44,4.56,-1.11,4.80,3.56,2.68,1.50,216961,7.77
norway,N59RE010A,ASTER,md_dsm1m_1sec_point,DSM,100.00,-50.97,43.96,-0.95,3.58,4.86,-0.69,4.95,3.63,2.74,0.95,216961,7.86
norway,N59RE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-50.97,43.96,-1.24,3.14,4.11,-0.89,4.30,3.22,2.47,1.24,216961,6.95
norway,N59RE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-50.97,43.96,-1.01,2.85,3.80,-0.19,3.94,2.79,2.08,1.01,216961,6.34
norway,N59TE009G,ASTER,md_dsm1m_1sec_point,DSM,93.44,-50.97,43.96,0.58,3.42,4.69,0.65,4.72,3.47,2.61,0.58,202756,7.49
norway,N59TE010A,ASTER,md_dsm1m_1sec_point,DSM,99.12,-50.97,43.96,-0.22,3.22,4.30,-0.02,4.31,3.21,2.47,0.22,215062,6.9
norway,N59TE010B,ASTER,md_dsm1m_1sec_point,DSM,100.00,-50.97,43.96,0.73,3.68,4.91,0.67,4.97,3.72,2.91,0.73,216961,7.87
norway,N59TE010C,ASTER,md_dsm1m_1sec_point,DSM,100.00,-236.04,43.96,-0.92,2.80,5.31,-0.02,5.39,2.60,1.41,0.92,158406,6.7
norway,N59QE009G,FABDEM,md_dtm1m_1sec_point,DTM,76.65,-43.24,32.00,-2.63,3.32,4.57,-2.06,5.28,3.79,2.77,2.63,165790,8.4
norway,N59RE009G,FABDEM,md_dtm1m_1sec_point,DTM,100.00,-43.24,32.00,-2.17,2.61,3.56,-1.83,4.17,3.07,2.32,2.17,216239,6.7
norway,N59TE009G,FABDEM,md_dtm1m_1sec_point,DTM,93.44,-43.24,32.00,-1.25,2.16,2.97,-1.05,3.22,2.35,1.74,1.25,202058,5.16
norway,N59QE009G,FABDEM,md_dsm1m_1sec_point,DSM,76.65,-43.24,28.38,-2.64,3.02,4.12,-2.20,4.89,3.62,2.73,2.64,165785,7.94
norway,N59RE009G,FABDEM,md_dsm1m_1sec_point,DSM,100.00,-43.24,28.38,-2.71,2.50,3.40,-2.37,4.35,3.31,2.63,2.71,216239,6.97
norway,N59TE009G,FABDEM,md_dsm1m_1sec_point,DSM,93.44,-43.24,28.38,-2.27,2.15,2.89,-2.05,3.67,2.84,2.29,2.27,202058,5.92
pyrenees,N43PW002B,COP,md_dtm_2m_1sec_point,DTM,100.00,-23.41,20.15,0.16,2.31,3.10,0.02,3.10,2.31,1.75,0.16,130321,5.03
pyrenees,N43PW002C,COP,md_dtm_2m_1sec_point,DTM,100.00,-23.41,21.13,0.25,2.32,3.09,0.13,3.10,2.32,1.77,0.25,130321,5.03
pyrenees,N43PW002B,COP,md_dsm_5m_1sec_point,DSM,100.00,-23.41,18.90,-1.03,2.02,2.75,-0.91,2.94,2.17,1.64,1.03,130321,4.73
pyrenees,N43PW002C,COP,md_dsm_5m_1sec_point,DSM,100.00,-23.41,18.90,-0.93,1.89,2.59,-0.89,2.75,2.05,1.56,0.93,130321,4.42
pyrenees,N43PW002B,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-21.51,18.40,-0.34,2.74,3.59,-0.37,3.61,2.76,2.19,0.34,130321,5.82
pyrenees,N43PW002C,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-21.86,20.12,-0.21,2.73,3.56,-0.21,3.57,2.74,2.18,0.21,130321,5.83
pyrenees,N43PW002B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-21.86,16.92,-1.52,2.82,3.68,-1.49,3.98,3.09,2.49,1.52,130321,6.53
pyrenees,N43PW002C,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-23.98,19.32,-1.38,2.82,3.71,-1.31,3.95,3.03,2.41,1.38,130321,6.44
pyrenees,N43PW002B,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-15.86,50.14,0.54,2.58,3.54,0.31,3.58,2.58,1.96,0.54,130321,5.49
pyrenees,N43PW002C,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-20.33,50.14,0.31,2.35,3.15,0.23,3.16,2.36,1.80,0.31,130321,5.1
pyrenees,N43PW002B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-20.33,50.12,-0.64,2.12,3.03,-0.79,3.10,2.22,1.71,0.64,130321,4.62
pyrenees,N43PW002C,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-20.33,50.12,-0.86,1.97,2.67,-0.86,2.81,2.11,1.63,0.86,130321,4.47
pyrenees,N43PW002B,NASA,md_dtm_2m_1sec_point,DTM,100.00,-21.65,18.37,-0.43,2.73,3.58,-0.44,3.60,2.76,2.20,0.43,130321,5.82
pyrenees,N43PW002C,NASA,md_dtm_2m_1sec_point,DTM,100.00,-22.06,20.35,-0.27,2.73,3.55,-0.25,3.56,2.73,2.18,0.27,130321,5.81
pyrenees,N43PW002B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-22.06,17.23,-1.61,2.80,3.66,-1.57,4.00,3.11,2.51,1.61,130321,6.56
pyrenees,N43PW002C,NASA,md_dsm_5m_1sec_point,DSM,100.00,-22.44,18.86,-1.44,2.82,3.70,-1.36,3.97,3.05,2.43,1.44,130321,6.48
pyrenees,N43PW002B,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-22.90,48.12,3.16,4.56,5.93,2.92,6.71,5.18,4.20,3.16,130321,10.75
pyrenees,N43PW002C,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-24.78,48.12,3.54,4.79,6.29,3.23,7.22,5.52,4.45,3.54,130321,11.49
pyrenees,N43PW002B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-24.78,48.21,1.95,4.38,5.71,1.71,6.03,4.60,3.68,1.95,130321,9.65
pyrenees,N43PW002C,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-24.78,48.21,2.34,4.58,6.06,1.99,6.49,4.87,3.79,2.34,130321,10.29
pyrenees,N43PW002B,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-21.95,21.59,-0.34,2.33,3.12,-0.37,3.13,2.35,1.81,0.34,130321,5.07
pyrenees,N43PW002C,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-21.95,21.59,-0.48,2.27,3.04,-0.43,3.08,2.30,1.75,0.48,130321,4.99
pyrenees,N43PW002B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-21.95,17.51,-1.52,2.43,3.22,-1.40,3.56,2.72,2.13,1.52,130321,5.81
pyrenees,N43PW002C,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-21.95,19.85,-1.65,2.38,3.15,-1.55,3.56,2.73,2.17,1.65,130321,5.83
