alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=3;62.848;66.082;68.912;72.223;74.484;79.169;
N=4;63.550;67.094;70.221;73.914;76.463;81.793;
N=5;63.949;67.675;70.979;74.900;77.613;83.320;
N=6;64.207;68.044;71.459;75.531;78.368;84.340;
N=7;64.391;68.313;71.808;75.980;78.883;85.032;
N=8;64.522;68.511;72.075;76.331;79.291;85.554;
N=9;64.630;68.665;72.266;76.586;79.597;86.011;
N=10;64.708;68.783;72.428;76.801;79.853;86.341;
N=11;64.776;68.876;72.549;76.955;80.033;86.595;
N=12;64.833;68.964;72.658;77.098;80.202;86.832;
N=13;64.876;69.028;72.752;77.220;80.343;87.020;
N=14;64.921;69.090;72.832;77.323;80.467;87.182;
N=15;64.950;69.136;72.891;77.398;80.555;87.307;
N=16;64.981;69.182;72.950;77.480;80.656;87.437;
N=17;65.009;69.223;73.005;77.556;80.752;87.544;
N=18;65.030;69.255;73.044;77.612;80.811;87.643;
N=19;65.052;69.286;73.088;77.655;80.866;87.706;
N=20;65.071;69.314;73.127;77.719;80.937;87.825;
N=21;65.089;69.339;73.162;77.759;80.987;87.879;
N=22;65.103;69.364;73.188;77.792;81.019;87.938;
N=23;65.117;69.383;73.217;77.834;81.073;88.003;
N=24;65.133;69.403;73.243;77.871;81.119;88.043;
N=25;65.143;69.420;73.269;77.903;81.154;88.089;
N=26;65.157;69.441;73.294;77.932;81.192;88.161;
N=27;65.159;69.446;73.305;77.949;81.212;88.214;
N=28;65.175;69.467;73.325;77.972;81.234;88.251;
N=29;65.178;69.474;73.336;77.991;81.254;88.260;
N=30;65.192;69.488;73.354;78.013;81.293;88.315;
N=31;65.196;69.503;73.378;78.031;81.297;88.298;
N=32;65.205;69.509;73.384;78.052;81.330;88.363;
