alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=4;211.859;218.341;224.025;230.705;235.296;244.853;
N=5;212.601;219.353;225.286;232.284;237.097;247.166;
N=6;213.089;220.018;226.122;233.320;238.284;248.659;
N=7;213.431;220.483;226.701;234.044;239.112;249.714;
N=8;213.653;220.822;227.137;234.591;239.719;250.499;
N=9;213.856;221.089;227.472;235.023;240.230;251.196;
N=10;214.006;221.300;227.739;235.351;240.612;251.631;
N=11;214.095;221.438;227.937;235.614;240.923;252.065;
N=12;214.218;221.608;228.130;235.843;241.198;252.350;
N=13;214.309;221.730;228.276;236.029;241.377;252.638;
N=14;214.387;221.837;228.410;236.186;241.577;252.923;
N=15;214.452;221.911;228.510;236.315;241.718;253.081;
N=16;214.474;221.981;228.606;236.446;241.879;253.315;
