alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=3;123.546;128.123;132.125;136.812;140.020;146.695;
N=4;124.539;129.500;133.866;139.010;142.559;149.956;
N=5;125.108;130.294;134.876;140.279;144.014;151.842;
N=6;125.473;130.811;135.528;141.116;144.983;153.074;
N=7;125.731;131.173;135.993;141.698;145.645;153.990;
N=8;125.922;131.439;136.328;142.139;146.176;154.643;
N=9;126.073;131.652;136.600;142.478;146.545;155.138;
N=10;126.189;131.816;136.808;142.736;146.852;155.530;
N=11;126.287;131.951;136.982;142.966;147.118;155.902;
N=12;126.361;132.053;137.111;143.122;147.296;156.151;
N=13;126.428;132.155;137.235;143.294;147.496;156.407;
N=14;126.489;132.239;137.344;143.432;147.658;156.609;
N=15;126.532;132.301;137.428;143.545;147.802;156.796;
N=16;126.584;132.367;137.514;143.645;147.917;156.948;
N=17;126.618;132.420;137.579;143.727;148.000;157.015;
N=18;126.650;132.466;137.642;143.799;148.080;157.161;
N=19;126.683;132.510;137.696;143.880;148.177;157.291;
N=20;126.704;132.543;137.732;143.921;148.237;157.391;
N=21;126.731;132.578;137.781;143.990;148.314;157.430;
N=22;126.756;132.610;137.821;144.043;148.358;157.531;
