alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=5;274.727;282.463;289.230;297.170;302.631;314.034;
N=6;275.280;283.218;290.160;298.303;303.898;315.632;
N=7;275.626;283.739;290.827;299.159;304.885;316.842;
N=8;275.913;284.123;291.306;299.745;305.554;317.711;
N=9;276.208;284.447;291.683;300.202;306.085;318.387;
N=10;276.330;284.668;291.982;300.596;306.512;318.950;
N=11;276.539;284.894;292.232;300.895;306.866;319.423;
N=12;276.592;285.018;292.407;301.138;307.151;319.776;
N=13;276.732;285.172;292.596;301.349;307.391;320.094;
N=14;276.824;285.296;292.743;301.523;307.600;320.308;
