alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=6;300.490;308.786;316.045;324.560;330.427;342.655;
N=7;300.897;309.341;316.726;325.411;331.382;343.860;
N=8;301.151;309.733;317.235;326.035;332.111;344.778;
N=9;301.467;310.067;317.622;326.518;332.644;345.495;
N=10;301.587;310.301;317.939;326.912;333.105;346.032;
N=11;301.815;310.527;318.186;327.220;333.449;346.500;
N=12;301.878;310.676;318.399;327.482;333.737;346.856;
N=13;302.023;310.839;318.575;327.700;333.994;347.172;
N=14;302.121;310.962;318.732;327.893;334.219;347.409;
