alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=4;139.563;144.815;149.432;154.873;158.615;166.408;
N=5;140.165;145.654;150.493;156.203;160.144;168.401;
N=6;140.549;146.187;151.173;157.070;161.145;169.692;
N=7;140.825;146.575;151.662;157.687;161.857;170.615;
N=8;141.029;146.858;152.021;158.146;162.385;171.321;
N=9;141.194;147.086;152.308;158.503;162.804;171.864;
N=10;141.312;147.254;152.521;158.775;163.114;172.225;
N=11;141.417;147.397;152.706;159.009;163.392;172.613;
N=12;141.495;147.512;152.851;159.196;163.601;172.904;
N=13;141.566;147.614;152.971;159.350;163.772;173.126;
N=14;141.626;147.702;153.096;159.506;163.958;173.351;
N=15;141.681;147.779;153.187;159.613;164.073;173.503;
N=16;141.725;147.833;153.258;159.714;164.199;173.671;
N=17;141.775;147.898;153.332;159.806;164.309;173.829;
N=18;141.801;147.944;153.395;159.887;164.409;173.908;
N=19;141.832;147.982;153.449;159.961;164.481;174.027;
N=20;141.862;148.028;153.498;160.017;164.573;174.164;
N=21;141.887;148.065;153.548;160.088;164.623;174.223;
