alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=4;140.633;145.910;150.544;155.998;159.755;167.585;
N=5;141.234;146.744;151.599;157.335;161.296;169.566;
N=6;141.626;147.285;152.287;158.207;162.295;170.878;
N=7;141.906;147.683;152.783;158.831;163.008;171.795;
N=8;142.110;147.967;153.152;159.301;163.559;172.507;
N=9;142.266;148.187;153.422;159.643;163.956;173.038;
N=10;142.391;148.352;153.640;159.926;164.280;173.482;
N=11;142.496;148.503;153.832;160.162;164.549;173.817;
N=12;142.579;148.618;153.975;160.341;164.759;174.081;
N=13;142.651;148.717;154.101;160.511;164.950;174.373;
N=14;142.711;148.801;154.204;160.643;165.118;174.563;
N=15;142.760;148.874;154.306;160.764;165.240;174.741;
N=16;142.808;148.937;154.390;160.868;165.379;174.854;
N=17;142.844;148.994;154.453;160.957;165.478;174.999;
N=18;142.880;149.043;154.524;161.044;165.568;175.120;
N=19;142.917;149.092;154.576;161.106;165.644;175.248;
N=20;142.941;149.130;154.620;161.155;165.710;175.342;
