alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=4;198.106;204.374;209.868;216.320;220.748;230.001;
N=5;198.824;205.352;211.093;217.868;222.515;232.231;
N=6;199.287;205.989;211.889;218.853;223.664;233.729;
N=7;199.616;206.438;212.459;219.571;224.488;234.769;
N=8;199.852;206.780;212.895;220.114;225.104;235.553;
N=9;200.042;207.046;213.226;220.535;225.582;236.180;
N=10;200.176;207.228;213.466;220.842;225.946;236.664;
N=11;200.257;207.392;213.683;221.114;226.259;237.021;
N=12;200.394;207.543;213.850;221.318;226.490;237.378;
N=13;200.476;207.654;214.001;221.499;226.684;237.611;
N=14;200.543;207.744;214.116;221.651;226.875;237.864;
N=15;200.593;207.839;214.235;221.802;227.044;238.097;
N=16;200.653;207.919;214.333;221.918;227.187;238.284;
N=17;200.700;207.981;214.415;222.035;227.298;238.377;
