alpha;	0.100;0.050;0.025;0.010;0.005;0.001;
N=3;77.106;80.701;83.847;87.528;90.042;95.251;
N=4;77.881;81.803;85.264;89.345;92.153;98.040;
N=5;78.331;82.446;86.089;90.405;93.397;99.686;
N=6;78.618;82.857;86.619;91.094;94.201;100.751;
N=7;78.819;83.151;86.999;91.581;94.771;101.518;
N=8;78.971;83.369;87.285;91.955;95.203;102.069;
N=9;79.081;83.529;87.495;92.227;95.526;102.506;
N=10;79.176;83.663;87.667;92.453;95.792;102.842;
N=11;79.247;83.769;87.803;92.635;96.004;103.152;
N=12;79.314;83.862;87.923;92.784;96.180;103.396;
N=13;79.364;83.938;88.024;92.917;96.327;103.587;
N=14;79.410;84.001;88.110;93.028;96.465;103.776;
N=15;79.448;84.059;88.181;93.117;96.561;103.922;
N=16;79.479;84.105;88.240;93.200;96.672;104.058;
N=17;79.513;84.149;88.298;93.276;96.747;104.170;
N=18;79.534;84.184;88.352;93.336;96.826;104.268;
N=19;79.562;84.218;88.388;93.391;96.890;104.363;
N=20;79.585;84.253;88.440;93.458;96.967;104.428;
N=21;79.599;84.279;88.473;93.498;97.007;104.485;
N=22;79.617;84.304;88.502;93.539;97.074;104.599;
N=23;79.631;84.325;88.526;93.585;97.116;104.625;
N=24;79.646;84.343;88.552;93.608;97.150;104.662;
N=25;79.663;84.367;88.584;93.646;97.200;104.761;
N=26;79.674;84.387;88.606;93.670;97.215;104.787;
N=27;79.687;84.402;88.632;93.712;97.264;104.824;
N=28;79.696;84.417;88.653;93.733;97.297;104.905;
N=29;79.706;84.432;88.668;93.744;97.307;104.896;
