AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
uruguay_1,S31RW057F,COP,S31RW057F_1sec_point,100.00,-13.21,23.33,-0.38,1.84,2.75,-0.61,2.77,1.92,1.32,184465
uruguay_1,S31RW057F,SRTM_egm2008,S31RW057F_1sec_point,100.00,-18.46,20.95,-1.61,2.33,3.14,-1.73,3.53,2.77,2.32,184465
uruguay_1,S31RW057F,ALOS_egm2008,S31RW057F_1sec_area,100.00,-24.09,35.47,1.45,1.30,1.95,1.34,2.43,1.79,1.47,184707
uruguay_1,S31RW057F,NASA_egm2008,S31RW057F_1sec_point,100.00,-17.46,21.76,0.15,2.29,3.06,0.04,3.07,2.28,1.77,184465
uruguay_1,S31RW057F,ASTER_egm2008,S31RW057F_1sec_point,100.00,-17.23,43.97,6.93,4.35,5.55,6.75,8.87,7.42,6.83,184465
uruguay_1,S31RW057F,FABDEM,S31RW057F_1sec_point,100.00,-8.52,17.50,-0.35,0.54,0.82,-0.41,0.89,0.65,0.53,184465
