AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,N
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-295.67,471.56,11.33,18.10,27.81,5.64,30.03,18.26,10.57,347608
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-195.39,471.56,13.08,20.39,30.49,6.69,33.18,20.64,12.26,222151
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,-231.33,148.87,1.10,5.68,9.12,0.11,9.18,5.54,3.48,177419
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,-181.76,273.39,4.66,10.46,17.52,0.96,18.13,9.89,4.92,201290
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,-296.71,464.00,9.88,17.04,26.44,4.24,28.23,16.79,9.43,356369
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,-196.47,464.00,11.56,19.33,29.13,5.21,31.34,19.15,11.15,226409
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,-129.77,150.52,1.04,3.13,5.58,0.49,5.67,3.14,1.76,158210
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-260.35,296.76,3.26,6.66,13.97,0.96,14.35,6.33,2.66,193798
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,-267.07,463.09,8.30,14.15,24.92,2.71,26.27,13.46,5.66,347608
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-191.69,463.09,9.69,16.47,27.71,3.10,29.36,15.62,6.81,222151
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,-123.34,159.85,0.84,2.65,4.93,0.18,5.00,2.56,1.20,177419
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,-246.52,290.62,2.77,5.64,13.06,0.68,13.35,5.24,2.00,201290
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,-271.04,434.67,6.93,13.00,23.64,1.56,24.63,11.89,4.32,356369
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,-188.28,434.67,8.23,15.21,26.39,1.77,27.64,13.81,4.96,226409
