AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
italy,N46PE010J,COP,md_italy_1sec_point,100.00,-83.07,108.81,4.89,11.91,15.09,3.94,15.87,12.34,10.22,147292
italy,N46PE010J,SRTM_egm2008,md_italy_1sec_point,100.00,-100.57,139.90,4.78,12.03,15.87,3.41,16.57,12.36,9.47,147292
italy,N46PE010J,ALOS_egm2008,md_italy_1sec_area,100.00,-58.30,67.82,4.59,4.48,6.10,4.76,7.63,6.07,5.33,147490
italy,N46PE010J,NASA_egm2008,md_italy_1sec_point,100.00,-104.57,130.90,7.82,12.33,16.20,6.42,17.99,13.61,10.41,147292
italy,N46PE010J,ASTER_egm2008,md_italy_1sec_point,100.00,-80.88,105.12,3.95,8.21,11.20,3.02,11.88,8.60,6.34,147292
italy,N46PE010J,FABDEM,md_italy_1sec_point,100.00,-95.51,82.59,-4.84,6.91,9.24,-3.18,10.43,7.39,4.99,147292
