AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,NUM_PITS,NUM_PEAKS,DIFF_PITS,DIFF_PEAKS
oxford1,N51XW002C,COP,oxford1_point,83.53,0,0,0,0
oxford1,N51YW002C,COP,oxford1_point,83.09,0,0,0,0
oxford1,N51YW002D,COP,oxford1_point,77.05,0,0,0,0
oxford1,N51XW002C,SRTM_egm2008,oxford1_point,83.53,0,0,0,0
oxford1,N51YW002C,SRTM_egm2008,oxford1_point,83.09,0,0,0,0
oxford1,N51YW002D,SRTM_egm2008,oxford1_point,77.05,0,0,0,0
oxford1,N51XW002C,ALOS_egm2008,oxford1_area,83.53,0,0,0,0
oxford1,N51YW002C,ALOS_egm2008,oxford1_area,83.09,0,0,0,0
oxford1,N51YW002D,ALOS_egm2008,oxford1_area,77.05,0,0,0,0
oxford1,N51XW002C,NASA_egm2008,oxford1_point,83.53,0,0,0,0
oxford1,N51YW002C,NASA_egm2008,oxford1_point,83.09,0,0,0,0
oxford1,N51YW002D,NASA_egm2008,oxford1_point,77.05,0,0,0,0
oxford1,N51XW002C,ASTER_egm2008,oxford1_point,83.53,0,0,0,0
oxford1,N51YW002C,ASTER_egm2008,oxford1_point,83.09,0,0,0,0
oxford1,N51YW002D,ASTER_egm2008,oxford1_point,77.05,0,0,0,0
oxford1,N51XW002C,FABDEM,oxford1_point,83.53,0,0,0,0
oxford1,N51YW002C,FABDEM,oxford1_point,83.09,0,0,0,0
oxford1,N51YW002D,FABDEM,oxford1_point,77.05,0,0,0,0
