AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,-41.09,123.75,4.98,5.34,7.18,3.97,8.73,6.24,4.69,158906
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-108.23,204.24,5.57,8.97,13.97,2.06,15.03,8.62,4.11,194377
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,-205.80,320.27,7.82,15.01,22.72,3.02,24.03,14.77,9.13,348764
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-205.80,320.27,9.44,17.00,25.37,4.41,27.07,17.00,11.02,223067
la_palma,N28UW018B,COP,dsm_5m_point,93.51,-112.03,120.79,1.48,4.32,6.42,0.40,6.58,4.27,2.73,177896
la_palma,N28VW018B,COP,dsm_5m_point,100.00,-128.49,195.48,0.38,7.50,13.47,-0.03,13.48,7.43,3.74,201732
la_palma,N28XW018A,COP,dsm_5m_point,96.75,-204.39,312.16,1.37,13.77,22.03,-0.20,22.08,13.53,8.90,356908
la_palma,N28XW018B,COP,dsm_5m_point,100.00,-204.39,312.16,2.23,15.75,24.74,-0.13,24.84,15.40,10.47,226948
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-118.91,189.97,9.70,6.04,8.09,9.02,12.63,10.16,9.14,158906
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-136.39,241.00,11.32,9.34,14.96,8.37,18.76,12.68,8.80,194377
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-196.88,335.46,15.38,16.06,24.38,10.68,28.83,18.94,12.44,348764
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-196.88,335.46,16.52,18.62,27.48,10.93,32.06,21.10,13.67,223067
