AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-0.12,-285.01,-41.52,-27.27,-0.46,-1.45,-38.11,143009
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-209.67,-41.04,-17.58,-0.40,-3.47,-44.15,184685
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-0.12,-180.84,-22.92,-12.58,-0.43,-2.60,-23.25,324700
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-205.02,-17.03,-11.63,-0.65,-3.50,-14.88,206117
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,-0.12,-285.01,-41.52,-27.27,-0.46,-1.45,-38.11,143009
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-209.67,-41.04,-17.58,-0.40,-3.47,-44.15,184685
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,-0.12,-180.84,-22.92,-12.58,-0.43,-2.60,-23.25,324700
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-205.02,-17.03,-11.63,-0.65,-3.50,-14.88,206117
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-0.11,-100.10,-57.25,-23.43,-0.41,0.40,-54.12,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-128.81,-52.33,-18.16,0.07,0.15,-53.02,253061
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-0.12,-76.13,-33.55,-9.63,-0.48,-2.77,-34.22,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-176.00,-30.48,-7.12,-0.75,-3.98,-29.41,253061
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-0.11,-100.10,-57.25,-23.43,-0.41,0.40,-54.12,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-128.81,-52.33,-18.16,0.07,0.15,-53.02,253061
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-0.12,-76.13,-33.55,-9.63,-0.48,-2.77,-34.22,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-176.00,-30.48,-7.12,-0.75,-3.98,-29.41,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,-1.24,-265.68,-56.84,-22.97,-0.70,-4.23,-54.07,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-1.25,-184.20,-51.13,-16.71,-0.12,-1.73,-52.86,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,-1.25,-93.79,-28.49,-5.66,-0.58,-3.16,-29.51,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-1.25,-115.27,-24.99,-2.92,-0.83,-4.26,-23.30,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,-1.24,-265.68,-56.84,-22.97,-0.70,-4.23,-54.07,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-1.25,-184.20,-51.13,-16.71,-0.12,-1.73,-52.86,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,-1.25,-93.79,-28.49,-5.66,-0.58,-3.16,-29.51,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-1.25,-115.27,-24.99,-2.92,-0.83,-4.26,-23.30,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-0.11,-173.40,-57.35,-23.70,-0.61,-2.72,-54.12,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-166.56,-52.41,-18.12,0.14,0.66,-53.18,253061
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-0.12,265.84,-33.36,-6.35,1.80,37.39,-34.46,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-164.90,-30.57,-7.00,-0.70,-3.80,-29.50,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-0.11,-173.40,-57.35,-23.70,-0.61,-2.72,-54.12,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-166.56,-52.41,-18.12,0.14,0.66,-53.18,253061
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-0.12,265.84,-33.36,-6.35,1.80,37.39,-34.46,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-164.90,-30.57,-7.00,-0.70,-3.80,-29.50,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-0.11,-195.72,-57.32,-23.24,-0.57,-3.01,-54.80,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-196.44,-52.83,-19.00,-0.06,-1.26,-53.11,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-0.12,-67.02,-34.43,-9.75,-0.47,-2.80,-35.16,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-164.32,-31.40,-7.37,-0.74,-4.00,-30.73,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-0.11,-195.72,-57.32,-23.24,-0.57,-3.01,-54.80,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-196.44,-52.83,-19.00,-0.06,-1.26,-53.11,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-0.12,-67.02,-34.43,-9.75,-0.47,-2.80,-35.16,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-0.12,-164.32,-31.40,-7.37,-0.74,-4.00,-30.73,253061
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,-0.12,-284.30,-42.02,-27.53,-0.47,-1.51,-38.58,142724
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-0.12,-141.21,-41.93,-17.55,-0.22,-2.01,-45.20,184689
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,-0.12,-157.81,-23.59,-12.27,-0.44,-2.84,-24.50,324665
