AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,-354.09,-481.59,-604.74,35.23,0.17,-0.06,-623.75,141917
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-355.80,-382.35,-647.04,-31.82,0.13,0.21,-625.28,184000
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,-355.11,-1.10,-344.80,104.84,0.16,0.06,-343.23,323632
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-355.11,-1.10,-317.95,141.27,0.08,-0.07,-310.56,205458
la_palma,N28UW018B,COP,dsm_5m_point,93.51,-358.30,-481.13,-612.98,38.03,0.19,-0.07,-633.56,141917
la_palma,N28VW018B,COP,dsm_5m_point,100.00,-360.00,-381.90,-655.28,-29.02,0.15,0.21,-635.08,184000
la_palma,N28XW018A,COP,dsm_5m_point,96.75,-359.32,-0.64,-353.04,107.64,0.17,0.05,-353.03,323632
la_palma,N28XW018B,COP,dsm_5m_point,100.00,-359.32,-0.64,-326.19,144.07,0.10,-0.07,-320.37,205458
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-357.73,-485.56,-974.04,102.96,0.82,0.26,-1221.80,253061
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-364.60,-379.49,-862.15,53.37,0.34,-0.13,-874.66,253058
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-361.29,9.20,-509.61,198.13,0.13,-0.11,-479.51,383021
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-359.02,9.20,-525.03,242.41,0.17,-0.25,-504.48,253061
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,-361.94,-485.10,-960.14,108.91,0.77,0.16,-1143.53,241870
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,-368.81,-379.03,-843.12,51.63,0.29,-0.13,-841.42,241867
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,-365.50,9.66,-489.50,189.83,0.11,-0.07,-458.54,371830
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,-363.23,9.66,-490.42,231.74,0.13,-0.22,-458.83,241870
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,-357.65,-480.40,-974.88,101.97,0.82,0.26,-1223.42,253061
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-350.11,-383.34,-862.17,52.49,0.34,-0.13,-874.06,253061
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,-357.03,6.35,-511.65,197.30,0.13,-0.11,-481.97,383021
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-357.03,6.35,-525.98,241.17,0.17,-0.25,-505.91,253061
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,-363.49,-479.49,-961.06,107.93,0.77,0.16,-1144.67,241870
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,-355.81,-382.43,-843.19,50.72,0.29,-0.14,-840.41,241870
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,-362.87,7.26,-491.65,189.07,0.12,-0.07,-461.73,371830
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,-362.87,7.26,-491.45,230.50,0.13,-0.22,-461.22,241870
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-356.68,-491.55,-975.03,102.23,0.82,0.26,-1223.11,253061
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-368.57,-383.49,-863.35,52.71,0.35,-0.13,-876.71,253060
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-393.02,-3.80,-511.64,197.80,0.13,-0.11,-481.67,383021
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-393.02,-3.80,-526.30,241.93,0.17,-0.25,-506.44,253061
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,-360.89,-491.09,-961.18,108.20,0.77,0.16,-1145.36,241870
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,-372.78,-383.03,-844.37,51.00,0.30,-0.13,-842.92,241869
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,-397.23,-3.34,-491.59,189.58,0.12,-0.07,-461.37,371830
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,-397.23,-3.34,-491.74,231.31,0.13,-0.22,-460.79,241870
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-357.21,-490.55,-975.28,104.47,0.83,0.27,-1229.44,253061
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-351.16,-383.49,-861.96,55.09,0.35,-0.13,-877.81,253061
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-359.96,-3.81,-509.17,201.53,0.13,-0.12,-482.10,383021
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-350.61,-3.81,-524.00,245.72,0.18,-0.26,-504.44,253061
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,-361.41,-490.09,-961.44,110.53,0.78,0.17,-1150.38,241870
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,-355.23,-383.03,-842.92,53.43,0.30,-0.13,-843.67,241870
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,-364.17,-3.35,-489.06,193.37,0.12,-0.08,-461.05,371830
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,-354.74,-3.35,-489.34,235.20,0.13,-0.23,-458.93,241870
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,-352.46,-482.59,-608.23,33.31,0.18,-0.05,-627.06,141629
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-353.40,-385.14,-651.27,-34.63,0.14,0.23,-628.92,184003
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,-352.58,-2.48,-350.19,104.25,0.17,0.07,-349.39,323597
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-352.58,-2.48,-323.94,141.26,0.10,-0.06,-317.72,205467
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,-356.67,-482.13,-616.47,36.11,0.19,-0.06,-636.86,141629
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,-357.61,-384.68,-659.51,-31.84,0.15,0.22,-638.72,184003
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,-356.79,-2.02,-358.42,107.05,0.18,0.06,-359.19,323597
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,-356.79,-2.02,-332.18,144.06,0.11,-0.07,-327.52,205467
