AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,-0.25,-303.03,-42.80,-28.68,-0.51,-1.76,-38.70,143009
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-227.70,-42.31,-19.00,-0.46,-3.78,-44.75,184685
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,-0.25,-198.86,-24.19,-14.00,-0.48,-2.91,-23.85,324700
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-223.04,-18.31,-13.05,-0.71,-3.81,-15.47,206117
la_palma,N28UW018B,COP,dsm_5m_point,93.51,-0.64,-280.00,-41.70,-28.06,-0.47,-1.39,-37.64,143009
la_palma,N28VW018B,COP,dsm_5m_point,100.00,-0.64,-204.67,-41.21,-18.38,-0.41,-3.42,-43.68,184685
la_palma,N28XW018A,COP,dsm_5m_point,96.75,-0.64,-175.83,-23.09,-13.38,-0.44,-2.54,-22.79,324700
la_palma,N28XW018B,COP,dsm_5m_point,100.00,-0.64,-200.02,-17.20,-12.43,-0.66,-3.44,-14.41,206117
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-0.24,-118.12,-58.53,-24.84,-0.47,0.09,-54.72,253061
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.24,-146.83,-53.60,-19.58,0.02,-0.16,-53.61,253061
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-0.25,-94.16,-34.82,-11.05,-0.53,-3.08,-34.81,383021
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-194.02,-31.75,-8.54,-0.80,-4.29,-30.00,253061
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,-0.63,-95.09,-56.52,-24.13,-0.47,0.47,-51.64,241870
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,-0.64,-123.81,-51.37,-18.86,0.04,0.15,-51.45,241870
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,-0.64,-71.13,-32.42,-10.69,-0.47,-2.59,-32.66,371830
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,-0.64,-170.99,-28.51,-8.38,-0.75,-3.78,-26.85,241870
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,-0.38,-297.71,-58.13,-24.39,-0.76,-4.52,-54.67,253061
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-0.39,-216.23,-52.42,-18.13,-0.17,-2.02,-53.46,253061
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,-0.39,-125.82,-29.78,-7.08,-0.63,-3.45,-30.11,383021
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-0.39,-147.30,-26.28,-4.34,-0.88,-4.55,-23.90,253061
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,-0.49,-269.79,-56.09,-23.68,-0.76,-4.25,-51.41,241870
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,-0.50,-188.32,-50.12,-17.40,-0.16,-1.77,-51.24,241870
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,-0.51,-97.91,-27.21,-6.77,-0.57,-2.99,-27.55,371830
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,-0.51,-119.39,-22.77,-4.26,-0.83,-4.07,-20.14,241870
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-0.24,-191.42,-58.63,-25.12,-0.66,-3.03,-54.72,253061
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-184.59,-53.69,-19.54,0.09,0.35,-53.77,253061
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-0.25,247.82,-34.63,-7.77,1.74,37.08,-35.05,383021
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-182.92,-31.84,-8.41,-0.76,-4.11,-30.10,253061
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,-0.63,-168.40,-56.63,-24.42,-0.66,-2.70,-51.64,241870
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,-0.64,-161.56,-51.47,-18.81,0.11,0.65,-51.59,241870
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,-0.64,270.85,-32.23,-7.31,1.88,39.08,-32.90,371830
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,-0.64,-159.90,-28.61,-8.25,-0.70,-3.60,-26.98,241870
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-0.24,-213.74,-58.60,-24.66,-0.63,-3.32,-55.39,253061
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-214.46,-54.11,-20.42,-0.12,-1.57,-53.71,253061
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-0.25,-85.04,-35.70,-11.16,-0.53,-3.11,-35.76,383021
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-182.34,-32.67,-8.78,-0.80,-4.30,-31.33,253061
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,-0.63,-190.71,-56.60,-23.94,-0.63,-3.01,-52.11,241870
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,-0.64,-191.43,-51.90,-19.71,-0.10,-1.28,-51.53,241870
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,-0.64,-62.02,-33.33,-10.78,-0.47,-2.63,-33.63,371830
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,-0.64,-159.31,-29.48,-8.59,-0.74,-3.81,-28.25,241870
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,-0.25,-302.32,-43.30,-28.95,-0.53,-1.82,-39.18,142724
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-159.23,-43.21,-18.96,-0.28,-2.32,-45.80,184689
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,-0.25,-175.83,-24.87,-13.69,-0.49,-3.15,-25.10,324665
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-0.25,-175.83,-18.70,-12.63,-0.69,-3.76,-16.07,206127
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,-0.64,-279.30,-42.20,-28.32,-0.48,-1.45,-38.12,142724
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,-0.64,-136.21,-42.10,-18.34,-0.23,-1.95,-44.73,184689
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,-0.64,-152.80,-23.76,-13.07,-0.45,-2.78,-24.04,324665
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,-0.64,-152.80,-17.60,-12.01,-0.65,-3.39,-15.01,206127
