AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN_Diff,Max_DIFF,Mean_Diff,AVG_DIFF,STD_DEV,MEDIAN,RMSE,MAE,N,D_ABS_MED
la_palma,,dtm-2m_reinterpolated_1sec_point,xxx,9999.00,-17.82,-0.68,-7.16,2.63,3.68,-6.64,8.04,7.16,47,6.64
la_palma,,dtm-2m_reinterpolated_1sec_area,xxx,9999.00,-16.35,-1.30,-6.66,2.36,3.24,-5.66,7.39,6.66,47,5.66
la_palma,,dsm_5m_point,xxx,9999.00,-15.18,2.88,-5.83,2.70,3.80,-5.45,6.94,6.17,47,5.45
la_palma,,dsm_5m_area,xxx,9999.00,-14.49,6.22,-5.63,2.78,3.96,-5.57,6.86,6.22,47,5.58
la_palma,,COP,xxx,9999.00,-67.22,-0.38,-13.26,5.98,10.56,-12.42,16.88,13.26,47,12.42
la_palma,,SRTM_egm2008,xxx,9999.00,-48.82,16.65,-10.79,7.45,10.96,-11.35,15.30,11.92,47,11.53
la_palma,,ALOS_egm2008,xxx,9999.00,-62.97,10.56,-4.56,5.74,10.45,-2.90,11.30,6.11,47,3.74
la_palma,,NASA_egm2008,xxx,9999.00,-61.65,8.88,-13.60,7.08,10.66,-13.73,17.21,14.14,47,13.73
la_palma,,ASTER_egm2008,xxx,9999.00,-89.20,12.90,-17.47,13.03,18.34,-12.18,25.19,18.08,47,12.77
la_palma,,FABDEM,xxx,9999.00,-54.63,-0.23,-11.18,4.41,8.04,-9.42,13.72,11.18,47,9.42
