AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-40.42,2418.36,927.12,701.56,0.19,-1.13,924.68,253061
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,-4.09,1930.60,500.48,565.03,0.77,-0.72,295.56,241870
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,-15.98,2038.67,617.28,507.83,0.30,-1.01,598.00,241869
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,-40.42,2418.36,970.06,646.42,0.12,-0.95,979.56,371830
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,-40.42,2418.36,969.92,688.15,0.14,-1.09,980.14,241870
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-4.61,1931.60,478.14,564.10,0.84,-0.61,201.67,253061
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,1.44,2038.67,591.46,514.72,0.37,-1.01,553.31,253061
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-7.36,2418.35,944.25,661.16,0.15,-1.00,949.02,383021
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,1.99,2418.35,929.42,705.35,0.19,-1.14,926.68,253061
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,-4.61,1931.60,500.22,567.37,0.78,-0.71,290.54,241870
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,1.57,2038.67,618.73,510.26,0.30,-1.01,597.25,241870
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,-7.36,2418.35,972.60,650.21,0.12,-0.96,979.87,371830
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,2.06,2418.35,972.32,692.04,0.14,-1.10,982.00,241870
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,0.14,1939.57,845.19,492.94,0.19,-0.94,804.06,141629
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-0.80,2037.02,802.15,425.00,0.15,-0.66,802.20,184003
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,0.02,2419.68,1103.23,563.88,0.18,-0.82,1081.73,323597
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,0.02,2419.68,1129.47,600.89,0.11,-0.95,1113.40,205467
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,0.14,1939.57,845.19,492.94,0.19,-0.94,804.06,141629
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,-0.80,2037.02,802.15,425.00,0.15,-0.66,802.20,184003
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,0.02,2419.68,1103.23,563.88,0.18,-0.82,1081.73,323597
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,0.02,2419.68,1129.47,600.89,0.11,-0.95,1113.40,205467
