AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
oxford1,N51XW002C,oxford1_point,xxx,83.53,0.00,55.76,2.35,2.95,4.27,30.54,1.50,180607
oxford1,N51YW002C,oxford1_point,xxx,83.09,0.01,39.62,5.42,3.98,2.10,7.31,4.63,179821
oxford1,N51YW002D,oxford1_point,xxx,77.05,0.00,52.89,5.34,4.73,2.41,8.52,4.08,166002
oxford1,N51XW002C,oxford1_area,xxx,83.53,0.00,59.15,2.35,2.94,4.29,31.18,1.50,180832
oxford1,N51YW002C,oxford1_area,xxx,83.09,0.00,39.85,5.42,3.98,2.10,7.31,4.63,180032
oxford1,N51YW002D,oxford1_area,xxx,77.05,0.00,52.02,5.33,4.73,2.41,8.53,4.08,165757
oxford1,N51XW002C,COP,oxford1_point,83.53,0.00,46.20,3.14,3.63,3.06,13.61,2.01,262447
oxford1,N51YW002C,COP,oxford1_point,83.09,0.00,59.84,6.49,5.76,2.22,6.73,4.89,262447
oxford1,N51YW002D,COP,oxford1_point,77.05,0.00,59.84,6.55,6.20,2.15,6.16,4.61,144761
oxford1,N51XW002C,SRTM_egm2008,oxford1_point,83.53,0.00,28.58,2.71,2.30,2.64,11.44,2.17,196745
oxford1,N51YW002C,SRTM_egm2008,oxford1_point,83.09,0.00,43.79,5.20,3.62,1.72,5.04,4.40,196745
oxford1,N51YW002D,SRTM_egm2008,oxford1_point,77.05,0.00,43.79,5.04,3.81,1.91,6.00,4.07,108661
oxford1,N51XW002C,ALOS_egm2008,oxford1_area,83.53,0.00,150.23,4.86,4.62,4.23,45.59,3.67,393129
oxford1,N51YW002C,ALOS_egm2008,oxford1_area,83.09,0.00,130.81,7.59,6.44,2.41,9.25,5.88,393129
oxford1,N51YW002D,ALOS_egm2008,oxford1_area,77.05,0.00,88.50,7.90,6.90,2.26,7.29,5.93,217322
oxford1,N51XW002C,NASA_egm2008,oxford1_point,83.53,0.00,29.73,3.12,2.49,2.27,9.15,2.66,393129
oxford1,N51YW002C,NASA_egm2008,oxford1_point,83.09,0.00,46.31,5.49,3.73,1.67,5.12,4.65,393129
oxford1,N51YW002D,NASA_egm2008,oxford1_point,77.05,0.00,46.31,5.37,3.95,1.87,6.13,4.40,216961
oxford1,N51XW002C,ASTER_egm2008,oxford1_point,83.53,0.00,143.71,13.20,9.44,1.70,5.35,11.25,393129
oxford1,N51YW002C,ASTER_egm2008,oxford1_point,83.09,0.00,122.40,13.82,8.77,1.42,3.97,12.13,393129
oxford1,N51YW002D,ASTER_egm2008,oxford1_point,77.05,0.00,85.50,12.13,7.40,1.18,2.33,10.82,216961
oxford1,N51XW002C,FABDEM,oxford1_point,83.53,0.00,43.75,1.86,2.67,3.79,20.55,0.99,393129
oxford1,N51YW002C,FABDEM,oxford1_point,83.09,0.00,61.65,5.10,4.67,2.39,9.28,3.88,393129
oxford1,N51YW002D,FABDEM,oxford1_point,77.05,0.00,61.65,4.88,4.93,2.51,9.56,3.36,216961
