AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
uruguay_1,S31RW057F,COP,md_S31RW057F_1sec_point,DTM,100.00,-169107521512458816000000000000000000.00,6608398752394080000000000000000000.00,-945594575485194112000000000000.00,1962814805710296000000000000000.00,395007690856375488000000000000000.00,-0.61,395007752029467712000000000000000.00,1017240860293858820000000000000.00,1.32,184473
uruguay_1,S31RW057F,SRTM_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-169107521512458816000000000000000000.00,6608398752394080000000000000000000.00,-945594575485194112000000000000.00,1962814805710296000000000000000.00,395007690856375488000000000000000.00,-1.73,395007752029467712000000000000000.00,1017240860293858820000000000000.00,2.32,184473
uruguay_1,S31RW057F,ALOS_egm2008,md_S31RW057F_1sec_area,DTM,100.00,-1.0E+0036,6608402466214199040000000000000000.00,-5915123665377834240000000000000.00,11901672361720116800000000000000.00,2369073191774789120000000000000000.00,1.34,2369074163342809920000000000000000.00,5986677245721442560000000000000.00,1.47,184712
uruguay_1,S31RW057F,NASA_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-169107521512458816000000000000000000.00,6608398752394080000000000000000000.00,-945594575485194112000000000000.00,1962814805710296000000000000000.00,395007690856375488000000000000000.00,0.04,395007752029467712000000000000000.00,1017240860293858820000000000000.00,1.77,184473
uruguay_1,S31RW057F,ASTER_egm2008,md_S31RW057F_1sec_point,DTM,100.00,-169107521512458816000000000000000000.00,6608398752394080000000000000000000.00,-945594575485194112000000000000.00,1962814805710296000000000000000.00,395007690856375488000000000000000.00,6.75,395007752029467712000000000000000.00,1017240860293858820000000000000.00,6.83,184473
uruguay_1,S31RW057F,FABDEM,md_S31RW057F_1sec_point,DTM,100.00,-169107521512458816000000000000000000.00,6608398752394080000000000000000000.00,-945594575485194112000000000000.00,1962814805710296000000000000000.00,395007690856375488000000000000000.00,-0.41,395007752029467712000000000000000.00,1017240860293858820000000000000.00,0.53,184473
