AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
italy,N46PE010J,COP,md_italy_1sec_point,DTM,100.00,0.00,-20.67,-2.62,-2.11,0.00,0.01,-3.07,149093
italy,N46PE010J,SRTM_egm2008,md_italy_1sec_point,DTM,100.00,0.00,9.43,-4.24,-2.03,0.27,0.75,-5.73,149093
italy,N46PE010J,ALOS_egm2008,md_italy_1sec_area,DTM,100.00,0.00,-22.28,-2.30,-1.06,-0.02,-0.33,-2.76,149454
italy,N46PE010J,NASA_egm2008,md_italy_1sec_point,DTM,100.00,0.00,-15.25,-4.48,-2.38,0.17,0.34,-5.80,149093
italy,N46PE010J,ASTER_egm2008,md_italy_1sec_point,DTM,100.00,0.00,-17.11,-4.01,-1.82,0.20,0.10,-5.78,149093
italy,N46PE010J,FABDEM,md_italy_1sec_point,DTM,100.00,0.00,-2.08,-3.40,-1.93,0.02,0.08,-3.96,149093
